,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1161,IFC,2022/10/23,2022/09/23,XG41-310U-001,U/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 310U (1/2),0,C,U/G PIPING ARRANGEMENT DRAWING FOR AREA 310U and 320U(IFC) ,TC0-1-UPD02-D6001,施韋考  Ext.:26356,PP-0163,A
1,TPC-TC(C0)-CD-22-1161,IFC,2022/10/23,2022/09/23,XG41-310U-002,U/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 310U (2/2),0,C,U/G PIPING ARRANGEMENT DRAWING FOR AREA 310U and 320U(IFC) ,TC0-1-UPD02-D6002,施韋考  Ext.:26356,PP-0163,A
2,TPC-TC(C0)-CD-22-1161,IFC,2022/10/23,2022/09/23,XG41-310U-003,U/G PIPING ARRANGEMENT DRAWING FOR WASTEWATER TREATMENT AREA 310U (1/1),0,C,U/G PIPING ARRANGEMENT DRAWING FOR AREA 310U and 320U(IFC) ,TC0-1-KWD02-D6001,施韋考  Ext.:26356,PP-0163,A
3,TPC-TC(C0)-CD-22-1161,IFC,2022/10/23,2022/09/23,XG41-320U-001,U/G PIPING ARRANGEMENT DRAWING FOR DEMINERALIZED WATER AREA 320U(1/1),0,C,U/G PIPING ARRANGEMENT DRAWING FOR AREA 310U and 320U(IFC) ,TC0-1-KDD02-D6001,施韋考  Ext.:26356,PP-0163,A
4,TPC-TC(C0)-CD-22-1161,IFC,2022/10/23,2022/09/23,XG41-320U-002,U/G PIPING ARRANGEMENT DRAWING FOR AMMONIA STORAGE AREA AND LUBE OIL AREA 320U (1/1),0,C,U/G PIPING ARRANGEMENT DRAWING FOR AREA 310U and 320U(IFC) ,TC0-1-KRD02-D6001,施韋考  Ext.:26356,PP-0163,A
5,TPC-TC(C0)-CD-22-1161,IFC,2022/10/23,2022/09/23,XG41-320U-003,U/G PIPING ARRANGEMENT DRAWING FOR RECOVERY WATER TREATMENT PLANT AREA 320U (1/1),0,C,U/G PIPING ARRANGEMENT DRAWING FOR AREA 310U and 320U(IFC) ,TC0-1-KVD02-D6001,施韋考  Ext.:26356,PP-0163,A
