,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TPC-TC(C0)-CD-22-0026,IFA,2022/02/07,2022/01/07,XC41A-7110-001,PFD - WASTEWATER COLLECTION SYSTEM (OILY) (1/2),A,A,PFD for Wastewater Collection System (Oily)_RA,TC0-1-UWM02-D7101,蕭舜予  Ext.:22121 ,PS-0173
1,TPC-TC(C0)-CD-22-0026,IFA,2022/02/07,2022/01/07,XC41A-7110-002,PFD - WASTEWATER COLLECTION SYSTEM (OILY) (2/2),A,A,PFD for Wastewater Collection System (Oily)_RA,TC0-1-UWM02-D7102,蕭舜予  Ext.:22121 ,PS-0173
