,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-SZC02-D4001,,,,,,A,General Notes and Drawings,,,,,,,,,,,,,,,I,M0086-TCM-0001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1589,TPC-TC(C0)-CD-22-1589,IFI,2022/12/01,2022/11/01,M0086-TCM-0001,General Notes and Drawings,A,I,"General Notes and Drawings, Main Control Building (BLD-3302) Steel Structure Erection Drawing, Shop Drawing - 1st Part",TC0-1-SZC02-D4001,陳博仁  Ext.:23341,I,VDR-M0086-TCM-0001
1,TC0-1-SZC02-D3301,,,,,,A,Main Control Building (BLD-3302) Steel Structure Erection Drawing - 1st Part,,,,,,,,,,,,,,,I,M0086-TCM-0011,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1589,TPC-TC(C0)-CD-22-1589,IFI,2022/12/01,2022/11/01,M0086-TCM-0011,Main Control Building (BLD-3302) Steel Structure Erection Drawing - 1st Part,A,I,"General Notes and Drawings, Main Control Building (BLD-3302) Steel Structure Erection Drawing, Shop Drawing - 1st Part",TC0-1-SZC02-D3301,陳博仁  Ext.:23341,I,VDR-M0086-TCM-0001
2,TC0-1-SZC02-D3302,,,,,,A,Main Control Building (BLD-3302) Steel Structure Shop Drawing - 1st Part,,,,,,,,,,,,,,,I,M0086-TCM-0012,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1589,TPC-TC(C0)-CD-22-1589,IFI,2022/12/01,2022/11/01,M0086-TCM-0012,Main Control Building (BLD-3302) Steel Structure Shop Drawing - 1st Part,A,I,"General Notes and Drawings, Main Control Building (BLD-3302) Steel Structure Erection Drawing, Shop Drawing - 1st Part",TC0-1-SZC02-D3302,陳博仁  Ext.:23341,I,VDR-M0086-TCM-0001
