,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-CIC02-C5502,,,,,,0,CALCULATION SHEET FOR CABLE TUNNEL (CBT-5002) FOR STRUCTURE,,,,,,,,,,,,,,,C,XF34-5000-502C,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-502C,CALCULATION SHEET FOR CABLE TUNNEL (CBT-5002) FOR STRUCTURE,0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-C5502,陳博仁  Ext.:23341,CB-0438,A
1,TC0-1-CIC02-D5503,,,,,,0,電纜涵洞(CBT-5002)頂版平面圖 CABLE TUNNEL (CBT-5002) TOP SLAB PLAN,,,,,,,,,,,,,,,C,XF34-5000-503,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-503,電纜涵洞(CBT-5002)頂版平面圖 CABLE TUNNEL (CBT-5002) TOP SLAB PLAN,0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-D5503,陳博仁  Ext.:23341,CB-0438,A
2,TC0-1-CIC02-D5504,,,,,,0,電纜涵洞(CBT-5002)底版平面圖 CABLE TUNNEL (CBT-5002) BOT SLAB PLAN,,,,,,,,,,,,,,,C,XF34-5000-504,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-504,電纜涵洞(CBT-5002)底版平面圖 CABLE TUNNEL (CBT-5002) BOT SLAB PLAN,0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-D5504,陳博仁  Ext.:23341,CB-0438,A
3,TC0-1-CIC02-D5505,,,,,,0,電纜涵洞(CBT-5002)預埋件平面圖 CABLE TUNNEL (CBT-5002) EMBEDDED MATERIAL PLAN,,,,,,,,,,,,,,,C,XF34-5000-505,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-505,電纜涵洞(CBT-5002)預埋件平面圖 CABLE TUNNEL (CBT-5002) EMBEDDED MATERIAL PLAN,0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-D5505,陳博仁  Ext.:23341,CB-0438,A
4,TC0-1-CIC02-D5506,,,,,,0,電纜涵洞(CBT-5002)詳細圖與剖面圖 (1) CABLE TUNNEL (CBT-5002) DETAIL & SECTION (1),,,,,,,,,,,,,,,C,XF34-5000-506,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-506,電纜涵洞(CBT-5002)詳細圖與剖面圖 (1) CABLE TUNNEL (CBT-5002) DETAIL & SECTION (1),0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-D5506,陳博仁  Ext.:23341,CB-0438,A
5,TC0-1-CIC02-D5507,,,,,,0,電纜涵洞(CBT-5002)詳細圖與剖面圖 (2) CABLE TUNNEL (CBT-5002) DETAIL & SECTION (2),,,,,,,,,,,,,,,C,XF34-5000-507,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-507,電纜涵洞(CBT-5002)詳細圖與剖面圖 (2) CABLE TUNNEL (CBT-5002) DETAIL & SECTION (2),0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-D5507,陳博仁  Ext.:23341,CB-0438,A
6,TC0-1-CIC02-D5508,,,,,,0,電纜涵洞(CBT-5002)詳細圖與剖面圖 (3) CABLE TUNNEL (CBT-5002) DETAIL & SECTION (3),,,,,,,,,,,,,,,C,XF34-5000-508,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1324,TPC-TC(C0)-CD-22-1324,IFC,2022/11/11,2022/10/12,XF34-5000-508,電纜涵洞(CBT-5002)詳細圖與剖面圖 (3) CABLE TUNNEL (CBT-5002) DETAIL & SECTION (3),0,C,電纜涵洞(CBT-5002) - 結構圖 (IFC),TC0-1-CIC02-D5508,陳博仁  Ext.:23341,CB-0438,A
