,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-AQA02-Q6016,,,,,,A,Equipment Quality Plan for 600V FIRE RESISTANT Power Cable (EVERTOP),,,,,,,,,,,,,,,A,TC0-1-AQA02-Q6016,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1176,TPC-TC(C0)-CD-22-1176,IFA,2022/10/26,2022/09/26,TC0-1-AQA02-Q6016,Equipment Quality Plan for 600V FIRE RESISTANT Power Cable (EVERTOP),A,A,"Specification for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)/Equipment Quality Plan for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)",TC0-1-AQA02-Q6016,程正維  Ext.:28057,R,VDR-M0079-HR-0004
1,TC0-1-AQA02-Q6047,,,,,,A,Equipment Quality Plan for 600V XLPE Wire (EVERTOP),,,,,,,,,,,,,,,A,TC0-1-AQA02-Q6047,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1176,TPC-TC(C0)-CD-22-1176,IFA,2022/10/26,2022/09/26,TC0-1-AQA02-Q6047,Equipment Quality Plan for 600V XLPE Wire (EVERTOP),A,A,"Specification for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)/Equipment Quality Plan for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)",TC0-1-AQA02-Q6047,程正維  Ext.:28057,R,VDR-M0079-HR-0004
2,TC0-1-AQA02-Q6048,,,,,,A,Equipment Quality Plan for 600V EPRN Power Cable (EVERTOP),,,,,,,,,,,,,,,A,TC0-1-AQA02-Q6048,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1176,TPC-TC(C0)-CD-22-1176,IFA,2022/10/26,2022/09/26,TC0-1-AQA02-Q6048,Equipment Quality Plan for 600V EPRN Power Cable (EVERTOP),A,A,"Specification for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)/Equipment Quality Plan for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)",TC0-1-AQA02-Q6048,程正維  Ext.:28057,R,VDR-M0079-HR-0004
3,TC0-1-EWE01-S0101,,,,,,A,Specification for 600V XLPE Wire (EVERTOP),,,,,,,,,,,,,,,A,TC0-1-EWE01-S0101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1176,TPC-TC(C0)-CD-22-1176,IFA,2022/10/26,2022/09/26,TC0-1-EWE01-S0101,Specification for 600V XLPE Wire (EVERTOP),A,A,"Specification for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)/Equipment Quality Plan for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)",TC0-1-EWE01-S0101,程正維  Ext.:28057,R,VDR-M0079-HR-0004
4,TC0-1-EWE01-S0102,,,,,,A,Specification for 600V EPRN Power Cable (EVERTOP),,,,,,,,,,,,,,,A,TC0-1-EWE01-S0102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1176,TPC-TC(C0)-CD-22-1176,IFA,2022/10/26,2022/09/26,TC0-1-EWE01-S0102,Specification for 600V EPRN Power Cable (EVERTOP),A,A,"Specification for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)/Equipment Quality Plan for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)",TC0-1-EWE01-S0102,程正維  Ext.:28057,R,VDR-M0079-HR-0004
5,TC0-1-EWE01-S0103,,,,,,A,Specification for 600V FIRE RESISTANT Power Cable (EVERTOP),,,,,,,,,,,,,,,A,TC0-1-EWE01-S0103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1176,TPC-TC(C0)-CD-22-1176,IFA,2022/10/26,2022/09/26,TC0-1-EWE01-S0103,Specification for 600V FIRE RESISTANT Power Cable (EVERTOP),A,A,"Specification for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)/Equipment Quality Plan for 600V XLPE Wire, EPRN Power Cable, FIRE RESISTANT Power Cable (EVERTOP)",TC0-1-EWE01-S0103,程正維  Ext.:28057,R,VDR-M0079-HR-0004
