,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-CIC02-D5004,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(1) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(1),,,,,,,,,,,,,,,A,XF34-5000-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-004,電纜涵洞(CBT-5001)基樁平面配置圖(1) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(1),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5004,陳博仁  Ext.:23341,CB-0124
1,TC0-1-CIC02-D5005,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(2) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(2),,,,,,,,,,,,,,,A,XF34-5000-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-005,電纜涵洞(CBT-5001)基樁平面配置圖(2) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(2),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5005,陳博仁  Ext.:23341,CB-0124
2,TC0-1-CIC02-D5006,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(3) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(3),,,,,,,,,,,,,,,A,XF34-5000-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-006,電纜涵洞(CBT-5001)基樁平面配置圖(3) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(3),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5006,陳博仁  Ext.:23341,CB-0124
3,TC0-1-CIC02-D5007,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(4) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(4),,,,,,,,,,,,,,,A,XF34-5000-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-007,電纜涵洞(CBT-5001)基樁平面配置圖(4) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(4),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5007,陳博仁  Ext.:23341,CB-0124
4,TC0-1-CIC02-D5008,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(5) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(5),,,,,,,,,,,,,,,A,XF34-5000-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-008,電纜涵洞(CBT-5001)基樁平面配置圖(5) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(5),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5008,陳博仁  Ext.:23341,CB-0124
5,TC0-1-CIC02-D5009,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(6) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(6),,,,,,,,,,,,,,,A,XF34-5000-009,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-009,電纜涵洞(CBT-5001)基樁平面配置圖(6) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(6),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5009,陳博仁  Ext.:23341,CB-0124
6,TC0-1-CIC02-D5010,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(7) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(7),,,,,,,,,,,,,,,A,XF34-5000-010,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-010,電纜涵洞(CBT-5001)基樁平面配置圖(7) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(7),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5010,陳博仁  Ext.:23341,CB-0124
7,TC0-1-CIC02-D5011,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(8) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(8),,,,,,,,,,,,,,,A,XF34-5000-011,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-011,電纜涵洞(CBT-5001)基樁平面配置圖(8) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(8),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5011,陳博仁  Ext.:23341,CB-0124
8,TC0-1-CIC02-D5012,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(9) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(9),,,,,,,,,,,,,,,A,XF34-5000-012,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-012,電纜涵洞(CBT-5001)基樁平面配置圖(9) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(9),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5012,陳博仁  Ext.:23341,CB-0124
9,TC0-1-CIC02-D5013,,,,,,0,電纜涵洞(CBT-5001)基樁平面配置圖(10) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(10),,,,,,,,,,,,,,,A,XF34-5000-013,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0053,TPC-TC(C0)-CD-22-0053,IFC,2022/02/17,2022/01/17,XF34-5000-013,電纜涵洞(CBT-5001)基樁平面配置圖(10) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(10),0,A,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5013,陳博仁  Ext.:23341,CB-0124
