,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ELE02-C5761,,,,,,B,LIGHTING LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING (1/3),,,,,,,,,,,,,,,A,XK62A-0DWT0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0746,TPC-TC(C0)-CD-22-0746,IFA,2022/08/28,2022/07/29,XK62A-0DWT0-001,LIGHTING LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING (1/3),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR DWT,TC0-1-ELE02-C5761,程正維  Ext.:28057,EE-0227,A
1,TC0-1-ELE02-C5762,,,,,,B,LIGHTING LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING (2/3),,,,,,,,,,,,,,,A,XK62A-0DWT0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0746,TPC-TC(C0)-CD-22-0746,IFA,2022/08/28,2022/07/29,XK62A-0DWT0-002,LIGHTING LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING (2/3),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR DWT,TC0-1-ELE02-C5762,程正維  Ext.:28057,EE-0227,A
2,TC0-1-ELE02-C5763,,,,,,B,LIGHTING LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING (3/3),,,,,,,,,,,,,,,A,XK62A-0DWT0-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0746,TPC-TC(C0)-CD-22-0746,IFA,2022/08/28,2022/07/29,XK62A-0DWT0-003,LIGHTING LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING (3/3),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR DWT,TC0-1-ELE02-C5763,程正維  Ext.:28057,EE-0227,A
3,TC0-1-ELE02-C5781,,,,,,B,RECEPTACLE LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING,,,,,,,,,,,,,,,A,XK62A-0DWT0-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0746,TPC-TC(C0)-CD-22-0746,IFA,2022/08/28,2022/07/29,XK62A-0DWT0-101,RECEPTACLE LOAD SCHEDULE FOR DEMIN. WATER TREATMENT BUILDING,B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR DWT,TC0-1-ELE02-C5781,程正維  Ext.:28057,EE-0227,A
