,,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCNATURE,DOCCLASS,TAGNO,CLIENTDOCNO,DESCRIPTION
0,0,HT-D1-CTC-GEL-22-0045,IFA,2022/02/03,,XK71B-0RPS0-001,PUBLIC ADDRESS SYSTEM LAYOUT FOR REPAIR FACTORY (1/2),A,,A,,HT0-1-EAE01-D5044,Public Address System Layout for Repair Factory 維修廠廣播系統
1,1,HT-D1-CTC-GEL-22-0045,IFA,2022/02/03,,XK71B-0RPS0-002,PUBLIC ADDRESS SYSTEM LAYOUT FOR REPAIR FACTORY (2/2),A,,A,,HT0-1-EAE01-D5061,Public Address System Layout for Repair Factory 維修廠廣播系統
