,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-UZC02-D6701,,,,,,B,HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC EQUIPMENT SCHEDULE AND AIR FLOW DIAGRAM,,,,,,,,,,,,,,,A,XF71C-3400-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1410,TPC-TC(C0)-CD-22-1410,IFA,2022/11/18,2022/10/19,XF71C-3400-201,HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC EQUIPMENT SCHEDULE AND AIR FLOW DIAGRAM,B,A,Hazardous Gas Warehouse (BLD-3401) - HVAC System - 機械_RB,TC0-1-UZC02-D6701,陳博仁  Ext.:23341,CB-0464,A
1,TC0-1-UZC02-D6721,,,,,,B,HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC EQUIPMENT AND DUCT LAYOUT,,,,,,,,,,,,,,,A,XF71C-3400-221,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1410,TPC-TC(C0)-CD-22-1410,IFA,2022/11/18,2022/10/19,XF71C-3400-221,HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC EQUIPMENT AND DUCT LAYOUT,B,A,Hazardous Gas Warehouse (BLD-3401) - HVAC System - 機械_RB,TC0-1-UZC02-D6721,陳博仁  Ext.:23341,CB-0464,A
2,TC0-1-UZC02-D6761,,,,,,B,"HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT",,,,,,,,,,,,,,,A,XF71C-3400-261,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1410,TPC-TC(C0)-CD-22-1410,IFA,2022/11/18,2022/10/19,XF71C-3400-261,"HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT",B,A,Hazardous Gas Warehouse (BLD-3401) - HVAC System - 機械_RB,TC0-1-UZC02-D6761,陳博仁  Ext.:23341,CB-0464,A
3,TC0-1-UZC02-C6701,,,,,,B,HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC SYSTEM CALCULATION SHEET,,,,,,,,,,,,,,,A,XF72-3400-201C,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1410,TPC-TC(C0)-CD-22-1410,IFA,2022/11/18,2022/10/19,XF72-3400-201C,HAZARDOUS GAS WAREHOUSE (BLD-3401) HVAC SYSTEM CALCULATION SHEET,B,A,Hazardous Gas Warehouse (BLD-3401) - HVAC System - 機械_RB,TC0-1-UZC02-C6701,陳博仁  Ext.:23341,CB-0464,A
