,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TC0-1-KDM02-A0003,,,,,,A,Recommended Spare Parts List with Separated Price for Three (3) Year Normal Operation for DWTS,,,,,,,,,,,,,,,I,F0002-TSK-9003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0416,TPC-TC(C0)-CD-22-0416,IFA,2022/06/18,2022/05/18,F0002-TSK-9003,Recommended Spare Parts List with Separated Price for Three (3) Year Normal Operation for DWTS,A,A,"Recommended Spare Parts List, Mandatory Spare Parts, Calculation Sheets for Pump sizing, Circuit Wiring Diagram of LP /PDP for DWTS",TC0-1-KDM02-A0003,蕭舜予  Ext.:22121 ,I
1,TC0-1-KDM02-A0004,,,,,,A,Mandatory Spare Parts Specified for DWTS,,,,,,,,,,,,,,,I,F0002-TSK-9004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0416,TPC-TC(C0)-CD-22-0416,IFA,2022/06/18,2022/05/18,F0002-TSK-9004,Mandatory Spare Parts Specified for DWTS,A,A,"Recommended Spare Parts List, Mandatory Spare Parts, Calculation Sheets for Pump sizing, Circuit Wiring Diagram of LP /PDP for DWTS",TC0-1-KDM02-A0004,蕭舜予  Ext.:22121 ,I
2,TC0-1-KDM02-C0050,,,,,,A,Calculation Sheets for Pump sizing for DWTS,,,,,,,,,,,,,,,A,F0002-TSK-9050,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0416,TPC-TC(C0)-CD-22-0416,IFA,2022/06/18,2022/05/18,F0002-TSK-9050,Calculation Sheets for Pump sizing for DWTS,A,A,"Recommended Spare Parts List, Mandatory Spare Parts, Calculation Sheets for Pump sizing, Circuit Wiring Diagram of LP /PDP for DWTS",TC0-1-KDM02-C0050,蕭舜予  Ext.:22121 ,R
3,TC0-1-KDE02-D0109,,,,,,A,Circuit Wiring Diagram of LP /PDP for DWTS,,,,,,,,,,,,,,,A,F0002-TSK-9109,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0416,TPC-TC(C0)-CD-22-0416,IFA,2022/06/18,2022/05/18,F0002-TSK-9109,Circuit Wiring Diagram of LP /PDP for DWTS,A,A,"Recommended Spare Parts List, Mandatory Spare Parts, Calculation Sheets for Pump sizing, Circuit Wiring Diagram of LP /PDP for DWTS",TC0-1-KDE02-D0109,蕭舜予  Ext.:22121 ,R
