,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-UPD02-D5001,,,,,,A,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 (1/2),,,,,,,,,,,,,,,A,XG31-1320-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0756,TPC-TC(C0)-CD-22-0756,IFA,2022/08/31,2022/08/01,XG31-1320-001,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 (1/2),A,A,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 and AIR COMPRESSOR AREA 1330,TC0-1-UPD02-D5001,施韋考  Ext.:26356,PP-0137,A
1,TC0-1-UPD02-D5002,,,,,,A,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 (2/2),,,,,,,,,,,,,,,A,XG31-1320-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0756,TPC-TC(C0)-CD-22-0756,IFA,2022/08/31,2022/08/01,XG31-1320-002,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 (2/2),A,A,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 and AIR COMPRESSOR AREA 1330,TC0-1-UPD02-D5002,施韋考  Ext.:26356,PP-0137,A
2,TC0-1-UED02-D5001,,,,,,A,A/G PIPING ARRANGEMENT DRAWING FOR AIR COMPRESSOR AREA 1330 (1/2),,,,,,,,,,,,,,,A,XG31-1330-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0756,TPC-TC(C0)-CD-22-0756,IFA,2022/08/31,2022/08/01,XG31-1330-001,A/G PIPING ARRANGEMENT DRAWING FOR AIR COMPRESSOR AREA 1330 (1/2),A,A,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 and AIR COMPRESSOR AREA 1330,TC0-1-UED02-D5001,施韋考  Ext.:26356,PP-0137,A
3,TC0-1-UED02-D5002,,,,,,A,A/G PIPING ARRANGEMENT DRAWING FOR AIR COMPRESSOR AREA 1330 (2/2),,,,,,,,,,,,,,,A,XG31-1330-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0756,TPC-TC(C0)-CD-22-0756,IFA,2022/08/31,2022/08/01,XG31-1330-002,A/G PIPING ARRANGEMENT DRAWING FOR AIR COMPRESSOR AREA 1330 (2/2),A,A,A/G PIPING ARRANGEMENT DRAWING FOR CONDENSATE STORAGE AREA 1320 and AIR COMPRESSOR AREA 1330,TC0-1-UED02-D5002,施韋考  Ext.:26356,PP-0137,A
