,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-III02-D3143,,,,,,B,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1/4),,,,,,,,,,,,,,,A,XH51-3400-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-001,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1/4),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3143,王鵬豪  Ext.:25199,IN-0290,A
1,TC0-1-III02-D3144,,,,,,B,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (2/4),,,,,,,,,,,,,,,A,XH51-3400-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-002,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (2/4),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3144,王鵬豪  Ext.:25199,IN-0290,A
2,TC0-1-III02-D3145,,,,,,B,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (3/4),,,,,,,,,,,,,,,A,XH51-3400-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-003,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (3/4),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3145,王鵬豪  Ext.:25199,IN-0290,A
3,TC0-1-III02-D3146,,,,,,B,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (4/4),,,,,,,,,,,,,,,A,XH51-3400-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-004,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (4/4),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3146,王鵬豪  Ext.:25199,IN-0290,A
4,TC0-1-III02-D3182,,,,,,B,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (1/8),,,,,,,,,,,,,,,A,XH51-3400-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-005,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (1/8),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3182,王鵬豪  Ext.:25199,IN-0290,A
5,TC0-1-III02-D3142,,,,,,B,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (2/8),,,,,,,,,,,,,,,A,XH51-3400-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-006,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (2/8),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3142,王鵬豪  Ext.:25199,IN-0290,A
6,TC0-1-III02-D3165,,,,,,B,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (3/8),,,,,,,,,,,,,,,A,XH51-3400-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-007,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (3/8),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3165,王鵬豪  Ext.:25199,IN-0290,A
7,TC0-1-III02-D3166,,,,,,B,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (4/8),,,,,,,,,,,,,,,A,XH51-3400-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-008,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (4/8),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3166,王鵬豪  Ext.:25199,IN-0290,A
8,TC0-1-III02-D3169,,,,,,B,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (5/8),,,,,,,,,,,,,,,A,XH51-3400-009,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-009,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (5/8),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3169,王鵬豪  Ext.:25199,IN-0290,A
9,TC0-1-III02-D3170,,,,,,B,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (6/8),,,,,,,,,,,,,,,A,XH51-3400-010,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1513,TPC-TC(C0)-CD-22-1513,IFA,2022/11/25,2022/10/26,XH51-3400-010,Field Instrument Cable Way and Wiring Layout of Pipe Rack 340R and Hazardous Gas Warehouse (6/8),B,A,Field Instrument Cable Way and Wiring Layout of Natural Gas Treatment and Metering Station (1 of 4)...etc,TC0-1-III02-D3170,王鵬豪  Ext.:25199,IN-0290,A
