,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ADM02-C0003,,,,,,0,Calculation Sheet of Heat Exchanger,,,,,,,,,,,,,,,D,XE45-=C00GTB01EG001-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-(C0)-CD-22-0120,TPC-TC(C0)-CD-22-0120,IFD,2022/03/18,2022/02/18,XE45-=C00GTB01EG001-001,Calculation Sheet of Heat Exchanger,0,D,Engineering Drawing and Calculation Sheet of Heat Exchanger,TC0-1-ADM02-C0003,張銘洋  Ext.:24270,EQ-0102,A
1,TC0-1-AEM02-C0003,,,,,,0,Engineering Drawing of Heat Exchanger,,,,,,,,,,,,,,,D,XE46-=C00GTB01EG001-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-(C0)-CD-22-0120,TPC-TC(C0)-CD-22-0120,IFD,2022/03/18,2022/02/18,XE46-=C00GTB01EG001-001,Engineering Drawing of Heat Exchanger,0,D,Engineering Drawing and Calculation Sheet of Heat Exchanger,TC0-1-AEM02-C0003,張銘洋  Ext.:24270,EQ-0102,A
