,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-FCM02-D6351,,,,,,B,回收水處理廠火警系統昇位圖,,,,,,,,,,,,,,,A,M0001-6215,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0821,TPC-TC(C0)-CD-22-0821,IFA,2022/09/09,2022/08/10,M0001-6215,回收水處理廠火警系統昇位圖,B,A,回收水處理廠火警系統昇位圖/平面圖,TC0-1-FCM02-D6351,施韋考  Ext.:26356,R,VDR-M0001-GWOJ-0052
1,TC0-1-FCM02-D6352,,,,,,A,回收水處理廠火警系統平面圖,,,,,,,,,,,,,,,A,M0001-6216,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0821,TPC-TC(C0)-CD-22-0821,IFA,2022/09/09,2022/08/10,M0001-6216,回收水處理廠火警系統平面圖,A,A,回收水處理廠火警系統昇位圖/平面圖,TC0-1-FCM02-D6352,施韋考  Ext.:26356,R,VDR-M0001-GWOJ-0052
