,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-ENE02-D5011,,,,,,A,LIGHTNING SYSTEM INSTALLATION DRAWING (1/5),,,,,,,,,,,,,,,A,XK12A-0LGN0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0007,TPC-TC(C0)-CD-22-0007,IFA,2022/02/06,2022/01/06,XK12A-0LGN0-001,LIGHTNING SYSTEM INSTALLATION DRAWING (1/5),A,A,Lightning system installation detail,TC0-1-ENE02-D5011,程正維  Ext.:28057,EE-0027
1,TC0-1-ENE02-D5012,,,,,,A,LIGHTNING SYSTEM INSTALLATION DRAWING (2/5),,,,,,,,,,,,,,,A,XK12A-0LGN0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0007,TPC-TC(C0)-CD-22-0007,IFA,2022/02/06,2022/01/06,XK12A-0LGN0-002,LIGHTNING SYSTEM INSTALLATION DRAWING (2/5),A,A,Lightning system installation detail,TC0-1-ENE02-D5012,程正維  Ext.:28057,EE-0027
2,TC0-1-ENE02-D5013,,,,,,A,LIGHTNING SYSTEM INSTALLATION DRAWING (3/5),,,,,,,,,,,,,,,A,XK12A-0LGN0-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0007,TPC-TC(C0)-CD-22-0007,IFA,2022/02/06,2022/01/06,XK12A-0LGN0-003,LIGHTNING SYSTEM INSTALLATION DRAWING (3/5),A,A,Lightning system installation detail,TC0-1-ENE02-D5013,程正維  Ext.:28057,EE-0027
3,TC0-1-ENE02-D5014,,,,,,A,LIGHTNING SYSTEM INSTALLATION DRAWING (4/5),,,,,,,,,,,,,,,A,XK12A-0LGN0-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0007,TPC-TC(C0)-CD-22-0007,IFA,2022/02/06,2022/01/06,XK12A-0LGN0-004,LIGHTNING SYSTEM INSTALLATION DRAWING (4/5),A,A,Lightning system installation detail,TC0-1-ENE02-D5014,程正維  Ext.:28057,EE-0027
4,TC0-1-ENE02-D5015,,,,,,A,LIGHTNING SYSTEM INSTALLATION DRAWING (5/5),,,,,,,,,,,,,,,A,XK12A-0LGN0-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0007,TPC-TC(C0)-CD-22-0007,IFA,2022/02/06,2022/01/06,XK12A-0LGN0-005,LIGHTNING SYSTEM INSTALLATION DRAWING (5/5),A,A,Lightning system installation detail,TC0-1-ENE02-D5015,程正維  Ext.:28057,EE-0027
