,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-051,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B PILING PLAN,A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3251,陳博仁  Ext.:23341,CB-0484,A
1,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-051C,CALCULATION SHEET FOR =C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B,A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-C3251,陳博仁  Ext.:23341,CB-0484,A
2,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-052,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B PLAN (1),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3252,陳博仁  Ext.:23341,CB-0484,A
3,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-053,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B PLAN (2),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3253,陳博仁  Ext.:23341,CB-0484,A
4,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-054,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B SECTION (1),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3254,陳博仁  Ext.:23341,CB-0484,A
5,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-055,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B SECTION (2),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3255,陳博仁  Ext.:23341,CB-0484,A
6,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-056,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B SECTION (3),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3256,陳博仁  Ext.:23341,CB-0484,A
7,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-057,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B DETAILS (1),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3257,陳博仁  Ext.:23341,CB-0484,A
8,TPC-TC(C0)-CD-22-1528,IFA,2022/11/25,2022/10/26,XF32A-3200-058,=C00GTA01CL501/511 BLOWDOWN DRAIN SURGE TANK A/B DETAILS (2),A,A,=C00GTA01CL501/511 Blowdown Drain Surge Tank A/B Foundation_RA,TC0-1-CHC02-D3258,陳博仁  Ext.:23341,CB-0484,A
