,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-UZC02-D6061,,,,,,A,"DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-1",,,,,,,,,,,,,,,A,XF71C-3200-161,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-161,"DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-1",A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6061,陳博仁  Ext.:23341,CB-0414,A
1,TC0-1-UZC02-D6062,,,,,,A,"DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-2",,,,,,,,,,,,,,,A,XF71C-3200-162,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-162,"DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-2",A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6062,陳博仁  Ext.:23341,CB-0414,A
2,TC0-1-UZC02-D6063,,,,,,A,"DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-3",,,,,,,,,,,,,,,A,XF71C-3200-163,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-163,"DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-3",A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6063,陳博仁  Ext.:23341,CB-0414,A
3,TC0-1-UZC02-D6081,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC CABLE LIST,,,,,,,,,,,,,,,A,XF71C-3200-181,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-181,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC CABLE LIST,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6081,陳博仁  Ext.:23341,CB-0414,A
4,TC0-1-UZC02-D6082,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC CONDUIT LIST,,,,,,,,,,,,,,,A,XF71C-3200-182,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-182,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC CONDUIT LIST,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6082,陳博仁  Ext.:23341,CB-0414,A
5,TC0-1-UZC02-D6083,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC INSTRUMENT LIST,,,,,,,,,,,,,,,A,XF71C-3200-183,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-183,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC INSTRUMENT LIST,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6083,陳博仁  Ext.:23341,CB-0414,A
6,TC0-1-UZC02-D6084,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST,,,,,,,,,,,,,,,A,XF71C-3200-184,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-184,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6084,陳博仁  Ext.:23341,CB-0414,A
7,TC0-1-UZC02-D6085,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC CONTROL WIRE DIAGRAM TABLE,,,,,,,,,,,,,,,A,XF71C-3200-185,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-185,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC CONTROL WIRE DIAGRAM TABLE,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6085,陳博仁  Ext.:23341,CB-0414,A
8,TC0-1-UZC02-D6091,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC EQUIPMENT CONTROL FLOW DIAGRAM-1,,,,,,,,,,,,,,,A,XF71C-3200-191,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-191,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC EQUIPMENT CONTROL FLOW DIAGRAM-1,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6091,陳博仁  Ext.:23341,CB-0414,A
9,TC0-1-UZC02-D6092,,,,,,A,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC EQUIPMENT CONTROL FLOW DIAGRAM-2,,,,,,,,,,,,,,,A,XF71C-3200-192,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1230,TPC-TC(C0)-CD-22-1230,IFA,2022/11/02,2022/10/03,XF71C-3200-192,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) HVAC EQUIPMENT CONTROL FLOW DIAGRAM-2,A,A,Demineralized Water Treatment Plant (BLD-3201) - HVAC System - 控制_RA,TC0-1-UZC02-D6092,陳博仁  Ext.:23341,CB-0414,A
