,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-EOE02-D5821,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT11 (1/1),,,,,,,,,,,,,,,A,XK21A-0DPCT-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPCT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT11 (1/1),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5821,程正維  Ext.:28057,EE-0381,A
1,TC0-1-EOE02-D5826,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT12 (1/1),,,,,,,,,,,,,,,A,XK21A-0DPCT-106,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPCT-106,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT12 (1/1),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5826,程正維  Ext.:28057,EE-0381,A
2,TC0-1-EOE02-D5881,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT21 (1/1),,,,,,,,,,,,,,,A,XK21A-0DPCT-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPCT-201,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT21 (1/1),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5881,程正維  Ext.:28057,EE-0381,A
3,TC0-1-EOE02-D5886,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT22 (1/1),,,,,,,,,,,,,,,A,XK21A-0DPCT-206,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPCT-206,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT22 (1/1),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5886,程正維  Ext.:28057,EE-0381,A
4,TC0-1-EOE02-D5841,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-EDG (1/1),,,,,,,,,,,,,,,A,XK21A-0DPDG-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-EDG (1/1),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5841,程正維  Ext.:28057,EE-0381,A
5,TC0-1-EOE02-D5861,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DWTP DC SYSTEM,,,,,,,,,,,,,,,A,XK21A-0DPDW-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPDW-001,ELECTRICAL SINGLE LINE DIAGRAM FOR DWTP DC SYSTEM,D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5861,程正維  Ext.:28057,EE-0381,A
6,TC0-1-EOE02-D5871,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (1/3),,,,,,,,,,,,,,,A,XK21A-0DPDW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (1/3),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5871,程正維  Ext.:28057,EE-0381,A
7,TC0-1-EOE02-D5872,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (2/3),,,,,,,,,,,,,,,A,XK21A-0DPDW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPDW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (2/3),D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5872,程正維  Ext.:28057,EE-0381,A
8,TC0-1-EOE02-D5873,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (3/3),,,,,,,,,,,,,,,A,XK21A-0DPDW-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPDW-103,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (3/3),C,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5873,程正維  Ext.:28057,EE-0381,A
9,TC0-1-EOE02-D5801,,,,,,D,ELECTRICAL SINGLE LINE DIAGRAM FOR SEH DC SYSTEM,,,,,,,,,,,,,,,A,XK21A-0DPEH-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1428,TPC-TC(C0)-CD-22-1428,IFA,2022/11/18,2022/10/19,XK21A-0DPEH-001,ELECTRICAL SINGLE LINE DIAGRAM FOR SEH DC SYSTEM,D,A,DC UPS Electrical Single Line Diagram of BOP and OBA,TC0-1-EOE02-D5801,程正維  Ext.:28057,EE-0381,A
