,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-ADM02-C0005,,,,,,B,Calculation Sheet of Plant Air Receiver for power block,,,,,,,,,,,,,,,A,XE35-=C00QEA01CM001-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE35-=C00QEA01CM001-001,Calculation Sheet of Plant Air Receiver for power block,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-ADM02-C0005,張銘洋  Ext.:24270,EQ-0075
1,TC0-1-ADM02-C0006,,,,,,B,Calculation Sheet of Plant Air Receiver D for SES and CWP house,,,,,,,,,,,,,,,A,XE35-=C00QEA01CM002-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE35-=C00QEA01CM002-001,Calculation Sheet of Plant Air Receiver D for SES and CWP house,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-ADM02-C0006,張銘洋  Ext.:24270,EQ-0075
2,TC0-1-ADM02-C0004,,,,,,B,Calculation Sheet of Instrument Air Receiver for power block,,,,,,,,,,,,,,,A,XE35-=C00QFA01CM001-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE35-=C00QFA01CM001-001,Calculation Sheet of Instrument Air Receiver for power block,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-ADM02-C0004,張銘洋  Ext.:24270,EQ-0075
3,TC0-1-ADM02-C0007,,,,,,B,Calculation Sheet of Instrument Air Receiver D for SES and CWP house,,,,,,,,,,,,,,,A,XE35-=C00QFA01CM002-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE35-=C00QFA01CM002-001,Calculation Sheet of Instrument Air Receiver D for SES and CWP house,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-ADM02-C0007,張銘洋  Ext.:24270,EQ-0075
4,TC0-1-ADM02-C0008,,,,,,B,Calculation Sheet of instrument Air Receiver F for Natural Gas Treatment/Metering Station,,,,,,,,,,,,,,,A,XE35-=C00QFA01CM003-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE35-=C00QFA01CM003-001,Calculation Sheet of instrument Air Receiver F for Natural Gas Treatment/Metering Station,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-ADM02-C0008,張銘洋  Ext.:24270,EQ-0075
5,TC0-1-AEM02-C0005,,,,,,B,Engineering Drawing of Plant Air Receiver for power block,,,,,,,,,,,,,,,A,XE36-=C00QEA01CM001-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE36-=C00QEA01CM001-001,Engineering Drawing of Plant Air Receiver for power block,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-AEM02-C0005,張銘洋  Ext.:24270,EQ-0075
6,TC0-1-AEM02-C0006,,,,,,B,Engineering Drawing of Plant Air Receiver D for SES and CWP house,,,,,,,,,,,,,,,A,XE36-=C00QEA01CM002-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE36-=C00QEA01CM002-001,Engineering Drawing of Plant Air Receiver D for SES and CWP house,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-AEM02-C0006,張銘洋  Ext.:24270,EQ-0075
7,TC0-1-AEM02-C0004,,,,,,B,Engineering Drawing of Instrument Air Receiver for power block,,,,,,,,,,,,,,,A,XE36-=C00QFA01CM001-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE36-=C00QFA01CM001-001,Engineering Drawing of Instrument Air Receiver for power block,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-AEM02-C0004,張銘洋  Ext.:24270,EQ-0075
8,TC0-1-AEM02-C0007,,,,,,B,Engineering Drawing of Instrument Air Receiver D for SES and CWP house,,,,,,,,,,,,,,,A,XE36-=C00QFA01CM002-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE36-=C00QFA01CM002-001,Engineering Drawing of Instrument Air Receiver D for SES and CWP house,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-AEM02-C0007,張銘洋  Ext.:24270,EQ-0075
9,TC0-1-AEM02-C0008,,,,,,B,Engineering Drawing of instrument Air Receiver F for Natural Gas Treatment/Metering Station,,,,,,,,,,,,,,,A,XE36-=C00QFA01CM003-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0046,TPC-TC(C0)-CD-22-0046,IFA,2022/02/14,2022/01/14,XE36-=C00QFA01CM003-001,Engineering Drawing of instrument Air Receiver F for Natural Gas Treatment/Metering Station,B,A,Engineering Drawing and Calculation Sheet of PA/IA Receiver,TC0-1-AEM02-C0008,張銘洋  Ext.:24270,EQ-0075
