,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
16,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-017,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (15),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3217,陳博仁  Ext.:23341,CB-0483,A
17,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-018,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (16),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3218,陳博仁  Ext.:23341,CB-0483,A
18,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-019,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE FOUNDATION SECTION & DETAILS (17),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3219,陳博仁  Ext.:23341,CB-0483,A
19,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-020,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR PLAN,B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3220,陳博仁  Ext.:23341,CB-0483,A
20,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-021,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (1),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3221,陳博仁  Ext.:23341,CB-0483,A
21,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-022,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (2),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3222,陳博仁  Ext.:23341,CB-0483,A
22,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-023,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (3),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3223,陳博仁  Ext.:23341,CB-0483,A
23,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-024,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (4),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3224,陳博仁  Ext.:23341,CB-0483,A
24,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-025,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (5),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3225,陳博仁  Ext.:23341,CB-0483,A
25,TPC-TC(C0)-CD-22-1527,IFA,2022/11/25,2022/10/26,XF38B-3200-026,DEMINERALIZED WATER TREATMENT PLANT (BLD-3201) STEEL STRUCTURE GROUND FLOOR DETAILS (6),B,A,Demineralized Water Treatment Plant (BLD-3201) - Foundation_RB,TC0-1-CNC02-D3226,陳博仁  Ext.:23341,CB-0483,A
