,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TPC-TC(C0)-CD-22-1363,IFA,2022/11/13,2022/10/14,M0015-EC-0013,Process Description for WWTS,B,A,"Process Description, Process Function Calculation Report for WWTS",TC0-1-KWM02-R0013,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0146
1,TPC-TC(C0)-CD-22-1363,IFA,2022/11/13,2022/10/14,M0015-EC-0014,Process Function Calculation Report for WWTS,B,A,"Process Description, Process Function Calculation Report for WWTS",TC0-1-KWM02-E0014,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0146
