,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-TMM02-A9048,,,,,,B,Cable List for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9048,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0841,TPC-TC(C0)-CD-22-0841,IFA,2022/09/11,2022/08/12,M0007-9048,Cable List for Sand Blasting Room Package,B,A,Cable List/Cable Routing Drawing for Sand Blasting Room Package,TC0-1-TMM02-A9048,張銘洋  Ext.:24270,R,VDR-M0007-MTPC-0073
1,TC0-1-TMM02-D9049,,,,,,B,Cable Routing Drawing for Sand Blasting Room Package,,,,,,,,,,,,,,,A,M0007-9049,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0841,TPC-TC(C0)-CD-22-0841,IFA,2022/09/11,2022/08/12,M0007-9049,Cable Routing Drawing for Sand Blasting Room Package,B,A,Cable List/Cable Routing Drawing for Sand Blasting Room Package,TC0-1-TMM02-D9049,張銘洋  Ext.:24270,R,VDR-M0007-MTPC-0073
