,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TPC-TC(C0)-CD-22-1115,IFC,2022/10/19,2022/09/19,M0031-KTEH-9306,Outline Dimension Drawing for Ammonia Vaporizer Control Panel (=C10/20QCG01EB001),0,C,Outline Dimension Drawing/Electric Wiring Diagram/Control Wiring Diagram/Electrical Components List and Catalogues For Ammonia Vaporizer (=C10/20QCG01EB001),TC0-1-KNM02-D9306,張銘洋  Ext.:24270,I,VDR-M0031-KTEH-0031
1,TPC-TC(C0)-CD-22-1115,IFC,2022/10/19,2022/09/19,M0031-KTEH-9309,Electric Wiring Diagram For Ammonia Vaporizer (=C10/20QCG01EB001),0,C,Outline Dimension Drawing/Electric Wiring Diagram/Control Wiring Diagram/Electrical Components List and Catalogues For Ammonia Vaporizer (=C10/20QCG01EB001),TC0-1-KNM02-D9309,張銘洋  Ext.:24270,R,VDR-M0031-KTEH-0031
2,TPC-TC(C0)-CD-22-1115,IFC,2022/10/19,2022/09/19,M0031-KTEH-9310,Control Wiring Diagram For Ammonia Vaporizer (=C10/20QCG01EB001),0,C,Outline Dimension Drawing/Electric Wiring Diagram/Control Wiring Diagram/Electrical Components List and Catalogues For Ammonia Vaporizer (=C10/20QCG01EB001),TC0-1-KNM02-D9310,張銘洋  Ext.:24270,R,VDR-M0031-KTEH-0031
3,TPC-TC(C0)-CD-22-1115,IFC,2022/10/19,2022/09/19,M0031-KTEH-9321,Electrical Components List and Catalogues For Ammonia Vaporizer (=C10/20QCG01EB001),0,C,Outline Dimension Drawing/Electric Wiring Diagram/Control Wiring Diagram/Electrical Components List and Catalogues For Ammonia Vaporizer (=C10/20QCG01EB001),TC0-1-KNM02-E9321,張銘洋  Ext.:24270,R,VDR-M0031-KTEH-0031
