,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCNATURE,DOCCLASS,TAGNO,CLIENTDOCNO,DESCRIPTION
0,HT-D1-CTC-GEL-22-0047,IFA,2022/02/03,,XK71B-0GIS0-001,PUBLIC ADDRESS SYSTEM LAYOUT FOR 345KV/161KV GIS BUILDING AND TIE TRANSFORMER AREA (1/2),A,,A,,HT0-1-EAE01-D5101,Public Address System Layout for 345KV/161KV Gis Building&Tie Transformer Area345KV 161KV GIS 建築及聯絡變壓器區域廣播系統
1,HT-D1-CTC-GEL-22-0047,IFA,2022/02/03,,XK71B-0GIS0-002,PUBLIC ADDRESS SYSTEM LAYOUT FOR 345KV/161KV GIS BUILDING AND TIE TRANSFORMER AREA (2/2),A,,A,,HT0-1-EAE01-D5102,Public Address System Layout for 345KV/161KV Gis Building&Tie Transformer Area345KV 161KV GIS 建築及聯絡變壓器區域廣播系統
