,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPCT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT11 (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5821,程正維  Ext.:28057,EE-0259,A
1,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPCT-106,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT12 (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5826,程正維  Ext.:28057,EE-0259,A
2,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPCT-201,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT21 (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5881,程正維  Ext.:28057,EE-0259,A
3,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPCT-206,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-CT22 (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5886,程正維  Ext.:28057,EE-0259,A
4,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-EDG (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5841,程正維  Ext.:28057,EE-0259,A
5,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPDW-001,ELECTRICAL SINGLE LINE DIAGRAM FOR DWTP DC SYSTEM,C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5861,程正維  Ext.:28057,EE-0259,A
6,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (1/3),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5871,程正維  Ext.:28057,EE-0259,A
7,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPDW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (2/3),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5872,程正維  Ext.:28057,EE-0259,A
8,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPDW-103,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-DWTP (3/3),B,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5873,程正維  Ext.:28057,EE-0259,A
9,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPEH-001,ELECTRICAL SINGLE LINE DIAGRAM FOR SEH DC SYSTEM,C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5801,程正維  Ext.:28057,EE-0259,A
10,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPEH-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-SEH (1/2),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5802,程正維  Ext.:28057,EE-0259,A
11,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPEH-102,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-SEH (2/2),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5803,程正維  Ext.:28057,EE-0259,A
12,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPFW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-FWRW (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5851,程正維  Ext.:28057,EE-0259,A
13,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0DPWW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR DDP-WWTP (1/1),B,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5862,程正維  Ext.:28057,EE-0259,A
14,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0UPCT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR UDP-CT1 (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5921,程正維  Ext.:28057,EE-0259,A
15,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0UPCT-106,ELECTRICAL SINGLE LINE DIAGRAM FOR UDP-CT2 (1/1),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5926,程正維  Ext.:28057,EE-0259,A
16,TPC-TC(C0)-CD-22-0871,IFA,2022/09/16,2022/08/17,XK21A-0UPDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR UDP-DWTP (1/3),C,A,DC UPS Electrical Single Line Diagram,TC0-1-EOE02-D5971,程正維  Ext.:28057,EE-0259,A
