,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-KVM02-D0022,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS ACF system (1-2),,,,,,,,,,,,,,,A,M0023-EC-0022,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0022,Piping & Instrument Diagrams (P & ID) for AWWTS ACF system (1-2),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0022,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
1,TC0-1-KVM02-D0023,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS ACF system (2-2),,,,,,,,,,,,,,,A,M0023-EC-0023,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0023,Piping & Instrument Diagrams (P & ID) for AWWTS ACF system (2-2),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0023,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
2,TC0-1-KVM02-D0024,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS UF system (1-3),,,,,,,,,,,,,,,A,M0023-EC-0024,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0024,Piping & Instrument Diagrams (P & ID) for AWWTS UF system (1-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0024,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
3,TC0-1-KVM02-D0025,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS UF system (2-3),,,,,,,,,,,,,,,A,M0023-EC-0025,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0025,Piping & Instrument Diagrams (P & ID) for AWWTS UF system (2-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0025,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
4,TC0-1-KVM02-D0026,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS UF system (3-3),,,,,,,,,,,,,,,A,M0023-EC-0026,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0026,Piping & Instrument Diagrams (P & ID) for AWWTS UF system (3-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0026,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
5,TC0-1-KVM02-D0027,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS 1st RO system (1-3),,,,,,,,,,,,,,,A,M0023-EC-0027,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0027,Piping & Instrument Diagrams (P & ID) for AWWTS 1st RO system (1-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0027,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
6,TC0-1-KVM02-D0028,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS 1st RO system (2-3),,,,,,,,,,,,,,,A,M0023-EC-0028,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0028,Piping & Instrument Diagrams (P & ID) for AWWTS 1st RO system (2-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0028,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
7,TC0-1-KVM02-D0029,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS 1st RO system (3-3),,,,,,,,,,,,,,,A,M0023-EC-0029,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0029,Piping & Instrument Diagrams (P & ID) for AWWTS 1st RO system (3-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0029,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
8,TC0-1-KVM02-D0030,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS 2nd RO system (1-3),,,,,,,,,,,,,,,A,M0023-EC-0030,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0030,Piping & Instrument Diagrams (P & ID) for AWWTS 2nd RO system (1-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0030,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
9,TC0-1-KVM02-D0031,,,,,,A,Piping & Instrument Diagrams (P & ID) for AWWTS 2nd RO system (2-3),,,,,,,,,,,,,,,A,M0023-EC-0031,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1130,TPC-TC(C0)-CD-22-1130,IFA,2022/10/20,2022/09/20,M0023-EC-0031,Piping & Instrument Diagrams (P & ID) for AWWTS 2nd RO system (2-3),A,A,Piping & Instrument Diagrams (P & ID) for UF/RO System of AWWTS,TC0-1-KVM02-D0031,蕭舜予  Ext.:22121 ,R,VDR-M0023-EC-0113
