,批次序號,圖號:,圖名:,版次:,來文號碼:,來文日期:,來文名稱:,路徑
0,2,HT0-1-UMM01-A6582,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",0,HT-D1-CTC-GEL-23-2710,2023/07/04,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",c:\Users\S\Documents\GitHub\Auto-Work-Station\00dest\00source\HT-D1-CTC-GEL-23-2710_converted.xlsx
1,2,HT0-1-UMM01-D6581,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",0,HT-D1-CTC-GEL-23-2710,2023/07/04,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",c:\Users\S\Documents\GitHub\Auto-Work-Station\00dest\00source\HT-D1-CTC-GEL-23-2710_converted.xlsx
2,2,HT0-1-UMM01-E6575,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",0,HT-D1-CTC-GEL-23-2710,2023/07/04,"D/S,Single line Diagram with Catalog of Strainer 自動清洗式過濾器規格表與線路圖及附屬設備圖面型錄(Raw Water System)",c:\Users\S\Documents\GitHub\Auto-Work-Station\00dest\00source\HT-D1-CTC-GEL-23-2710_converted.xlsx
