,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-EOE02-D5732,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CWPH (1/2),,,,,,,,,,,,,,,A,XK21A-0APCW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APCW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CWPH (1/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5732,程正維  Ext.:28057,EE-0154,A
1,TC0-1-EOE02-D5733,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CWPH (2/2),,,,,,,,,,,,,,,A,XK21A-0APCW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APCW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CWPH (2/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5733,程正維  Ext.:28057,EE-0154,A
2,TC0-1-EOE02-D5735,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-DWTP (1/2),,,,,,,,,,,,,,,A,XK21A-0APDW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-DWTP (1/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5735,程正維  Ext.:28057,EE-0154,A
3,TC0-1-EOE02-D5736,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-DWTP (2/2),,,,,,,,,,,,,,,A,XK21A-0APDW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APDW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-DWTP (2/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5736,程正維  Ext.:28057,EE-0154,A
4,TC0-1-EOE02-D5734,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-GTMS(1/2),,,,,,,,,,,,,,,A,XK21A-0APGM-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APGM-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-GTMS(1/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5734,程正維  Ext.:28057,EE-0154,A
5,TC0-1-EOE02-D5737,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-GTMS(2/2),,,,,,,,,,,,,,,A,XK21A-0APGM-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APGM-102,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-GTMS(2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5737,程正維  Ext.:28057,EE-0154,A
6,TC0-1-EOE02-D5785,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-HPW (1/2),,,,,,,,,,,,,,,A,XK21A-0APHP-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APHP-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-HPW (1/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5785,程正維  Ext.:28057,EE-0154,A
7,TC0-1-EOE02-D5786,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-HPW (2/2),,,,,,,,,,,,,,,A,XK21A-0APHP-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APHP-102,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-HPW (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5786,程正維  Ext.:28057,EE-0154,A
8,TC0-1-EOE02-D5731,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-RWT (1/1),,,,,,,,,,,,,,,A,XK21A-0APRT-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APRT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-RWT (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5731,程正維  Ext.:28057,EE-0154,A
9,TC0-1-EOE02-D5741,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-SPW (1/1),,,,,,,,,,,,,,,A,XK21A-0APSP-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APSP-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-SPW (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5741,程正維  Ext.:28057,EE-0154,A
10,TC0-1-EOE02-D5791,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CT1 (1/1),,,,,,,,,,,,,,,A,XK21A-0APTN-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APTN-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CT1 (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5791,程正維  Ext.:28057,EE-0154,A
11,TC0-1-EOE02-D5793,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CT2 (1/1),,,,,,,,,,,,,,,A,XK21A-0APTN-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0APTN-201,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CT2 (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5793,程正維  Ext.:28057,EE-0154,A
12,TC0-1-EOE02-D5651,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-MCB (1/2),,,,,,,,,,,,,,,A,XK21A-0EPCB-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0EPCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-MCB (1/2),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5651,程正維  Ext.:28057,EE-0154,A
13,TC0-1-EOE02-D5652,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-MCB (2/2),,,,,,,,,,,,,,,A,XK21A-0EPCB-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0EPCB-102,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-MCB (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5652,程正維  Ext.:28057,EE-0154,A
14,TC0-1-EOE02-D5111,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP2-MCB (1/1),,,,,,,,,,,,,,,A,XK21A-0EPCB-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0EPCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP2-MCB (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5111,程正維  Ext.:28057,EE-0154,A
15,TC0-1-EOE02-D5112,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP2-MCB (2/2),,,,,,,,,,,,,,,A,XK21A-0EPCB-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0EPCB-202,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP2-MCB (2/2),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5112,程正維  Ext.:28057,EE-0154,A
16,TC0-1-EOE02-D5641,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-EDG (1/1),,,,,,,,,,,,,,,A,XK21A-0EPDG-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0EPDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-EDG (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5641,程正維  Ext.:28057,EE-0154,A
17,TC0-1-EOE02-D5661,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-DWTP (1/1),,,,,,,,,,,,,,,A,XK21A-0EPDW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0439,TPC-TC(C0)-CD-22-0439,IFA,2022/06/26,2022/05/26,XK21A-0EPDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-DWTP (1/1),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR BOP Power Distribution Panel,TC0-1-EOE02-D5661,程正維  Ext.:28057,EE-0154,A
