,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-UZC02-D6401,,,,,,A,SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT SCHEDULE AND AIR FLOW DIAGRAM,,,,,,,,,,,,,,,A,XF71C-3100-401,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF71C-3100-401,SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT SCHEDULE AND AIR FLOW DIAGRAM,A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-D6401,陳博仁  Ext.:23341,CB-0282,A
1,TC0-1-UZC02-D6421,,,,,,A,"SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT, DUCT AND PIPING LAYOUT",,,,,,,,,,,,,,,A,XF71C-3100-421,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF71C-3100-421,"SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT, DUCT AND PIPING LAYOUT",A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-D6421,陳博仁  Ext.:23341,CB-0282,A
2,TC0-1-UZC02-D6461,,,,,,A,"SPARES WAREHOUSE (BLD-3104) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT",,,,,,,,,,,,,,,A,XF71C-3100-461,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF71C-3100-461,"SPARES WAREHOUSE (BLD-3104) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT",A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-D6461,陳博仁  Ext.:23341,CB-0282,A
3,TC0-1-UZC02-D6481,,,,,,A,"SPARES WAREHOUSE (BLD-3104) HVAC CABLE LIST, CONDUIT LIST AND INSTRUMENT LIST",,,,,,,,,,,,,,,A,XF71C-3100-481,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF71C-3100-481,"SPARES WAREHOUSE (BLD-3104) HVAC CABLE LIST, CONDUIT LIST AND INSTRUMENT LIST",A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-D6481,陳博仁  Ext.:23341,CB-0282,A
4,TC0-1-UZC02-D6482,,,,,,A,SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,,,,,,,,,,,,,,,A,XF71C-3100-482,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF71C-3100-482,SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-D6482,陳博仁  Ext.:23341,CB-0282,A
5,TC0-1-UZC02-D6483,,,,,,A,SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST,,,,,,,,,,,,,,,A,XF71C-3100-483,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF71C-3100-483,SPARES WAREHOUSE (BLD-3104) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST,A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-D6483,陳博仁  Ext.:23341,CB-0282,A
6,TC0-1-UZC02-C6401,,,,,,A,SPARES WAREHOUSE (BLD-3104) HVAC SYSTEM CALCULATION SHEET,,,,,,,,,,,,,,,A,XF72-3100-401C,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0528,TPC-TC(C0)-CD-22-0528,IFA,2022/07/17,2022/06/17,XF72-3100-401C,SPARES WAREHOUSE (BLD-3104) HVAC SYSTEM CALCULATION SHEET,A,A,Spares Warehouse (BLD-3104) - HVAC System_RA,TC0-1-UZC02-C6401,陳博仁  Ext.:23341,CB-0282,A
