,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-022C,CALCULATION SHEET FOR OUTLET CW TUNNEL (CWT-6201) FOR STRUCTURE,A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-C6202,陳博仁  Ext.:23341,CB-0234,A
1,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-025,循環水出水暗渠(CWT-6201)平面圖(1) OUTLET CW TUNNEL (CWT-6201) PLAN (1),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6205,陳博仁  Ext.:23341,CB-0234,A
2,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-026,循環水出水暗渠(CWT-6201)平面圖(2) OUTLET CW TUNNEL (CWT-6201) PLAN (2),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6206,陳博仁  Ext.:23341,CB-0234,A
3,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-027,循環水出水暗渠(CWT-6201)平面圖(3) OUTLET CW TUNNEL (CWT-6201) PLAN (3),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6207,陳博仁  Ext.:23341,CB-0234,A
4,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-028,循環水出水暗渠(CWT-6201)平面圖(4) OUTLET CW TUNNEL (CWT-6201) PLAN (4),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6208,陳博仁  Ext.:23341,CB-0234,A
5,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-029,循環水出水暗渠(CWT-6201)中心路線縱剖面圖(1) OUTLET CW TUNNEL (CWT-6201) LONGITUDINAL SECTION (1),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6209,陳博仁  Ext.:23341,CB-0234,A
6,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-030,循環水出水暗渠(CWT-6201)中心路線縱剖面圖(2) OUTLET CW TUNNEL (CWT-6201) LONGITUDINAL SECTION (2),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6210,陳博仁  Ext.:23341,CB-0234,A
7,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-031,循環水出水暗渠(CWT-6201)剖面圖(1) OUTLET CW TUNNEL (CWT-6201) SECTION(1),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6211,陳博仁  Ext.:23341,CB-0234,A
8,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-032,循環水出水暗渠(CWT-6201)剖面圖(2) OUTLET CW TUNNEL (CWT-6201) SECTION(2),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6212,陳博仁  Ext.:23341,CB-0234,A
9,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-035,循環水出水暗渠(CWT-6201)詳細圖(1) OUTLET CW TUNNEL (CWT-6201) DETAILS (1),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6215,陳博仁  Ext.:23341,CB-0234,A
10,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-036,循環水出水暗渠(CWT-6201)詳細圖(2) OUTLET CW TUNNEL (CWT-6201) DETAILS (2),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6216,陳博仁  Ext.:23341,CB-0234,A
11,TPC-TC(C0)-CD-22-0341,IFA,2022/06/03,2022/05/03,XF34-6200-037,循環水出水暗渠(CWT-6201)詳細圖(3) OUTLET CW TUNNEL (CWT-6201) DETAILS (3),A,A,循環水出水暗渠(CWT-6201) - 結構圖_RA,TC0-1-CIC02-D6217,陳博仁  Ext.:23341,CB-0234,A
