,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ELE02-C5501,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (1/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-001,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (1/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5501,程正維  Ext.:28057,EE-0225,A
1,TC0-1-ELE02-C5502,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (2/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-002,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (2/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5502,程正維  Ext.:28057,EE-0225,A
2,TC0-1-ELE02-C5503,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (3/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-003,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (3/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5503,程正維  Ext.:28057,EE-0225,A
3,TC0-1-ELE02-C5504,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (4/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-004,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (4/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5504,程正維  Ext.:28057,EE-0225,A
4,TC0-1-ELE02-C5505,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (5/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-005,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (5/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5505,程正維  Ext.:28057,EE-0225,A
5,TC0-1-ELE02-C5506,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (6/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-006,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (6/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5506,程正維  Ext.:28057,EE-0225,A
6,TC0-1-ELE02-C5507,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (7/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-007,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (7/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5507,程正維  Ext.:28057,EE-0225,A
7,TC0-1-ELE02-C5508,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (8/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-008,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (8/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5508,程正維  Ext.:28057,EE-0225,A
8,TC0-1-ELE02-C5509,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (9/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-009,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-009,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (9/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5509,程正維  Ext.:28057,EE-0225,A
9,TC0-1-ELE02-C5510,,,,,,B,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (10/17),,,,,,,,,,,,,,,A,XK62A-0CCB0-010,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0744,TPC-TC(C0)-CD-22-0744,IFA,2022/08/28,2022/07/29,XK62A-0CCB0-010,LIGHTING LOAD SCHEDULE FOR MAIN CONTROL BUILDING (10/17),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR MCB,TC0-1-ELE02-C5510,程正維  Ext.:28057,EE-0225,A
