,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
10,TC0-1-EOE02-D5911,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (1/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (1/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5911,程正維  Ext.:28057,EE-0230,A
11,TC0-1-EOE02-D5912,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (2/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (2/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5912,程正維  Ext.:28057,EE-0230,A
12,TC0-1-EOE02-D5913,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (3/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-103,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-103,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (3/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5913,程正維  Ext.:28057,EE-0230,A
13,TC0-1-EOE02-D5914,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (4/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-104,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-104,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (4/5),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5914,程正維  Ext.:28057,EE-0230,A
14,TC0-1-EOE02-D5915,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (5/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-105,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-105,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT1 (5/5),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5915,程正維  Ext.:28057,EE-0230,A
15,TC0-1-EOE02-D5516,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (1/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-201,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (1/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5516,程正維  Ext.:28057,EE-0230,A
16,TC0-1-EOE02-D5517,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (2/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-202,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-202,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (2/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5517,程正維  Ext.:28057,EE-0230,A
17,TC0-1-EOE02-D5518,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (3/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-203,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-203,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (3/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5518,程正維  Ext.:28057,EE-0230,A
18,TC0-1-EOE02-D5519,,,,,,B,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (4/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-204,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-204,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (4/5),B,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5519,程正維  Ext.:28057,EE-0230,A
19,TC0-1-EOE02-D5520,,,,,,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (5/5),,,,,,,,,,,,,,,A,XK21A-0NMAW-205,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMAW-205,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-AWWT2 (5/5),A,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5520,程正維  Ext.:28057,EE-0230,A
20,TC0-1-EOE02-D5681,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (1/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (1/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5681,程正維  Ext.:28057,EE-0230,A
21,TC0-1-EOE02-D5682,,,,,,C,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (2/5),,,,,,,,,,,,,,,A,XK21A-0NMCB-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0778,TPC-TC(C0)-CD-22-0778,IFA,2022/09/02,2022/08/03,XK21A-0NMCB-102,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC-MCB1 (2/5),C,A,ELECTRICAL SINGLE LINE DIAGRAM FOR NMCC & EMCC_RC,TC0-1-EOE02-D5682,程正維  Ext.:28057,EE-0230,A
