,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-001,電纜涵洞(CBT-5001)控制點平面配置圖 CABLE TUNNEL (CBT-5001) LOCATION PLAN(1),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5001,陳博仁  Ext.:23341,CB-0226,A
1,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-001C,CALCULATION SHEET FOR CABLE TUNNEL (CBT-5001) FOR PILING,0,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-C5001,陳博仁  Ext.:23341,CB-0226,A
2,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-003,電纜涵洞(CBT-5001))控制點平面配置圖 CABLE TUNNEL (CBT-5001) LOCATION PLAN(3),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5003,陳博仁  Ext.:23341,CB-0226,A
3,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-004,電纜涵洞(CBT-5001)基樁平面配置圖(1) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(1),2,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5004,陳博仁  Ext.:23341,CB-0226,A
4,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-006,電纜涵洞(CBT-5001)基樁平面配置圖(3) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(3),2,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5006,陳博仁  Ext.:23341,CB-0226,A
5,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-009,電纜涵洞(CBT-5001)基樁平面配置圖(6) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(6),2,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5009,陳博仁  Ext.:23341,CB-0226,A
6,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-010,電纜涵洞(CBT-5001)基樁平面配置圖(7) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(7),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5010,陳博仁  Ext.:23341,CB-0226,A
7,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-011,電纜涵洞(CBT-5001)基樁平面配置圖(8) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(8),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5011,陳博仁  Ext.:23341,CB-0226,A
8,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-012,電纜涵洞(CBT-5001)基樁平面配置圖(9) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(9),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5012,陳博仁  Ext.:23341,CB-0226,A
9,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-013,電纜涵洞(CBT-5001)基樁平面配置圖(10) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(10),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5013,陳博仁  Ext.:23341,CB-0226,A
10,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-014,電纜涵洞(CBT-5001)基樁平面配置圖(11) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(11),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5014,陳博仁  Ext.:23341,CB-0226,A
11,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-015,電纜涵洞(CBT-5001)基樁平面配置圖(12) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(12),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5015,陳博仁  Ext.:23341,CB-0226,A
12,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-016,電纜涵洞(CBT-5001)基樁平面配置圖(13) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(13),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5016,陳博仁  Ext.:23341,CB-0226,A
13,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-018,電纜涵洞(CBT-5001)基樁平面配置圖(15) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(15),2,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5018,陳博仁  Ext.:23341,CB-0226,A
14,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-020,電纜涵洞(CBT-5001)基樁平面配置圖(17) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(17),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5020,陳博仁  Ext.:23341,CB-0226,A
15,TPC-TC(C0)-CD-22-0308,IFC,2022/05/22,2022/04/22,XF34-5000-021,電纜涵洞(CBT-5001)基樁平面配置圖(18) CABLE TUNNEL (CBT-5001) PILING LOCATION PLAN(18),1,C,電纜涵洞(CBT-5001)基樁平面配置圖 (IFC),TC0-1-CIC02-D5021,陳博仁  Ext.:23341,CB-0226,A
