,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TC0-1-KWM02-D0058,,,,,,A,Foundation/ Basin Layout & Loading Plan for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0058,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0410,TPC-TC(C0)-CD-22-0410,IFA,2022/06/16,2022/05/16,M0015-EC-0058,Foundation/ Basin Layout & Loading Plan for WWTS,,A,"General Arrangement Drawings, Foundation/ Basin Layout & Loading Plan for WWTS",TC0-1-KWM02-D0058,蕭舜予  Ext.:22121 ,R
1,TC0-1-KWM02-D0061,,,,,,A,General Arrangement Drawings (including Information for Location & Maintenance Space) for WWTS,,,,,,,,,,,,,,,A,M0015-EC-0061,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0410,TPC-TC(C0)-CD-22-0410,IFA,2022/06/16,2022/05/16,M0015-EC-0061,General Arrangement Drawings (including Information for Location & Maintenance Space) for WWTS,,A,"General Arrangement Drawings, Foundation/ Basin Layout & Loading Plan for WWTS",TC0-1-KWM02-D0061,蕭舜予  Ext.:22121 ,R
