,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0420,IFA,2022/06/23,2022/05/23,XK12A-0TVS0-001,CCTV SYSTEM INSTALLATION DETAIL (1/3),C,A,CCTV SYSTEM INSTALLATION DETAIL,TC0-1-IUE02-D5021,程正維  Ext.:28057,EE-0148,A
1,TPC-TC(C0)-CD-22-0420,IFA,2022/06/23,2022/05/23,XK12A-0TVS0-002,CCTV SYSTEM INSTALLATION DETAIL (2/3),C,A,CCTV SYSTEM INSTALLATION DETAIL,TC0-1-IUE02-D5022,程正維  Ext.:28057,EE-0148,A
2,TPC-TC(C0)-CD-22-0420,IFA,2022/06/23,2022/05/23,XK12A-0TVS0-003,CCTV SYSTEM INSTALLATION DETAIL (3/3),C,A,CCTV SYSTEM INSTALLATION DETAIL,TC0-1-IUE02-D5023,程正維  Ext.:28057,EE-0148,A
