,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-UZC02-D7161,,,,,,B,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-1",,,,,,,,,,,,,,,A,XF71C-3100-361,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1413,TPC-TC(C0)-CD-22-1413,IFA,2022/11/18,2022/10/19,XF71C-3100-361,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-1",B,A,"Emergency Diesel Generator Building (BLD-3103) - HVAC System - 控制_RA,RB",TC0-1-UZC02-D7161,陳博仁  Ext.:23341,CB-0467,A
1,TC0-1-UZC02-D7162,,,,,,B,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-2",,,,,,,,,,,,,,,A,XF71C-3100-362,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1413,TPC-TC(C0)-CD-22-1413,IFA,2022/11/18,2022/10/19,XF71C-3100-362,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-2",B,A,"Emergency Diesel Generator Building (BLD-3103) - HVAC System - 控制_RA,RB",TC0-1-UZC02-D7162,陳博仁  Ext.:23341,CB-0467,A
2,TC0-1-UZC02-D7163,,,,,,A,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-3",,,,,,,,,,,,,,,A,XF71C-3100-363,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1413,TPC-TC(C0)-CD-22-1413,IFA,2022/11/18,2022/10/19,XF71C-3100-363,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-3",A,A,"Emergency Diesel Generator Building (BLD-3103) - HVAC System - 控制_RA,RB",TC0-1-UZC02-D7163,陳博仁  Ext.:23341,CB-0467,A
3,TC0-1-UZC02-D7181,,,,,,B,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC CABLE, CONDUIT AND INSTRUMENT LIST",,,,,,,,,,,,,,,A,XF71C-3100-381,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1413,TPC-TC(C0)-CD-22-1413,IFA,2022/11/18,2022/10/19,XF71C-3100-381,"EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC CABLE, CONDUIT AND INSTRUMENT LIST",B,A,"Emergency Diesel Generator Building (BLD-3103) - HVAC System - 控制_RA,RB",TC0-1-UZC02-D7181,陳博仁  Ext.:23341,CB-0467,A
4,TC0-1-UZC02-D7182,,,,,,B,EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,,,,,,,,,,,,,,,A,XF71C-3100-382,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1413,TPC-TC(C0)-CD-22-1413,IFA,2022/11/18,2022/10/19,XF71C-3100-382,EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,B,A,"Emergency Diesel Generator Building (BLD-3103) - HVAC System - 控制_RA,RB",TC0-1-UZC02-D7182,陳博仁  Ext.:23341,CB-0467,A
5,TC0-1-UZC02-D7183,,,,,,B,EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST,,,,,,,,,,,,,,,A,XF71C-3100-383,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1413,TPC-TC(C0)-CD-22-1413,IFA,2022/11/18,2022/10/19,XF71C-3100-383,EMERGENCY DIESEL GENERATOR BUILDING (BLD-3103) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST,B,A,"Emergency Diesel Generator Building (BLD-3103) - HVAC System - 控制_RA,RB",TC0-1-UZC02-D7183,陳博仁  Ext.:23341,CB-0467,A
