,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ELE02-D5231,,,,,,B,LIGHTING LAYOUT FOR GAS TURBINE MAINTENANCE SHOP (1/2),,,,,,,,,,,,,,,A,XK61A-0GTM0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0809,TPC-TC(C0)-CD-22-0809,IFA,2022/09/08,2022/08/09,XK61A-0GTM0-001,LIGHTING LAYOUT FOR GAS TURBINE MAINTENANCE SHOP (1/2),B,A,LIGHTING AND RECEPTACLE LAYOUT FOR GTMS,TC0-1-ELE02-D5231,程正維  Ext.:28057,EE-0244,A
1,TC0-1-ELE02-D5232,,,,,,B,LIGHTING LAYOUT FOR GAS TURBINE MAINTENANCE SHOP (2/2),,,,,,,,,,,,,,,A,XK61A-0GTM0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0809,TPC-TC(C0)-CD-22-0809,IFA,2022/09/08,2022/08/09,XK61A-0GTM0-002,LIGHTING LAYOUT FOR GAS TURBINE MAINTENANCE SHOP (2/2),B,A,LIGHTING AND RECEPTACLE LAYOUT FOR GTMS,TC0-1-ELE02-D5232,程正維  Ext.:28057,EE-0244,A
2,TC0-1-ELE02-D5241,,,,,,B,LIGHTING LAYOUT RECEPTACLE FOR GAS TURBINE MAINTENANCE SHOP (1/2),,,,,,,,,,,,,,,A,XK61A-0GTM0-101,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0809,TPC-TC(C0)-CD-22-0809,IFA,2022/09/08,2022/08/09,XK61A-0GTM0-101,LIGHTING LAYOUT RECEPTACLE FOR GAS TURBINE MAINTENANCE SHOP (1/2),B,A,LIGHTING AND RECEPTACLE LAYOUT FOR GTMS,TC0-1-ELE02-D5241,程正維  Ext.:28057,EE-0244,A
3,TC0-1-ELE02-D5242,,,,,,B,LIGHTING LAYOUT RECEPTACLE FOR GAS TURBINE MAINTENANCE SHOP  (2/2),,,,,,,,,,,,,,,A,XK61A-0GTM0-102,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0809,TPC-TC(C0)-CD-22-0809,IFA,2022/09/08,2022/08/09,XK61A-0GTM0-102,LIGHTING LAYOUT RECEPTACLE FOR GAS TURBINE MAINTENANCE SHOP  (2/2),B,A,LIGHTING AND RECEPTACLE LAYOUT FOR GTMS,TC0-1-ELE02-D5242,程正維  Ext.:28057,EE-0244,A
