,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ELE02-D5021,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (1/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-001,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (1/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5021,程正維  Ext.:28057,EE-0217,A
1,TC0-1-ELE02-D5022,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (2/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-002,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (2/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5022,程正維  Ext.:28057,EE-0217,A
2,TC0-1-ELE02-D5023,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (3/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-003,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (3/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5023,程正維  Ext.:28057,EE-0217,A
3,TC0-1-ELE02-D5024,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (4/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-004,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (4/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5024,程正維  Ext.:28057,EE-0217,A
4,TC0-1-ELE02-D5025,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (5/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-005,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (5/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5025,程正維  Ext.:28057,EE-0217,A
5,TC0-1-ELE02-D5026,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (6/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-006,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (6/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5026,程正維  Ext.:28057,EE-0217,A
6,TC0-1-ELE02-D5027,,,,,,0,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (7/9),,,,,,,,,,,,,,,C,XK12A-0LTG0-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0670,TPC-TC(C0)-CD-22-0670,IFC,2022/08/24,2022/07/24,XK12A-0LTG0-007,LIGHTING & RECEPTACLE SYSTEM INSTALLATION DETAIL (7/9),0,C,INSTALLATION DETAIL FOR LIGHTING SYSTEM,TC0-1-ELE02-D5027,程正維  Ext.:28057,EE-0217,A
