,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-UEM02-D9416,,,,,,A,AMMONIA ACCUMULATOR GENERAL ASSEMBLY DRAWING,,,,,,,,,,,,,,,A,M0039-CEAI-9416,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0870,TPC-TC(C0)-CD-22-0870,IFA,2022/09/16,2022/08/17,M0039-CEAI-9416,AMMONIA ACCUMULATOR GENERAL ASSEMBLY DRAWING,A,A,AMMONIA ACCUMULATOR GENERAL ASSEMBLY DRAWING/NAME PLATE DRAWING/GENERAL ASSEMBLY DRAWING/TANK NAME PLATE DRAWING,TC0-1-UEM02-D9416,張銘洋  Ext.:24270,R,VDR-M0039-CEAI-0011
1,TC0-1-UEM02-D9419,,,,,,A,AMMONIA ACCUMULATOR NAME PLATE DRAWING,,,,,,,,,,,,,,,A,M0039-CEAI-9419,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0870,TPC-TC(C0)-CD-22-0870,IFA,2022/09/16,2022/08/17,M0039-CEAI-9419,AMMONIA ACCUMULATOR NAME PLATE DRAWING,A,A,AMMONIA ACCUMULATOR GENERAL ASSEMBLY DRAWING/NAME PLATE DRAWING/GENERAL ASSEMBLY DRAWING/TANK NAME PLATE DRAWING,TC0-1-UEM02-D9419,張銘洋  Ext.:24270,R,VDR-M0039-CEAI-0011
2,TC0-1-UEM02-D9421,,,,,,A,AMMONIA STORAGE TANK GENERAL ASSEMBLY DRAWING,,,,,,,,,,,,,,,A,M0039-CEAI-9421,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0870,TPC-TC(C0)-CD-22-0870,IFA,2022/09/16,2022/08/17,M0039-CEAI-9421,AMMONIA STORAGE TANK GENERAL ASSEMBLY DRAWING,A,A,AMMONIA ACCUMULATOR GENERAL ASSEMBLY DRAWING/NAME PLATE DRAWING/GENERAL ASSEMBLY DRAWING/TANK NAME PLATE DRAWING,TC0-1-UEM02-D9421,張銘洋  Ext.:24270,R,VDR-M0039-CEAI-0011
3,TC0-1-UEM02-D9424,,,,,,A,AMMONIA STORAGE TANK NAME PLATE DRAWING,,,,,,,,,,,,,,,A,M0039-CEAI-9424,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0870,TPC-TC(C0)-CD-22-0870,IFA,2022/09/16,2022/08/17,M0039-CEAI-9424,AMMONIA STORAGE TANK NAME PLATE DRAWING,A,A,AMMONIA ACCUMULATOR GENERAL ASSEMBLY DRAWING/NAME PLATE DRAWING/GENERAL ASSEMBLY DRAWING/TANK NAME PLATE DRAWING,TC0-1-UEM02-D9424,張銘洋  Ext.:24270,R,VDR-M0039-CEAI-0011
