,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-UWM02-D7601,,,,,,A,PFD - RECOVERY WATER TREATMENT SYSTEM (1/2),,,,,,,,,,,,,,,A,XC41A-7160-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0021,TPC-TC(C0)-CD-22-0021,IFA,2022/02/07,2022/01/07,XC41A-7160-001,PFD - RECOVERY WATER TREATMENT SYSTEM (1/2),A,A,PFD for Recovery Water Treatment System_RA,TC0-1-UWM02-D7601,蕭舜予  Ext.:22121 ,PS-0163
1,TC0-1-UWM02-D7602,,,,,,A,PFD - RECOVERY WATER TREATMENT SYSTEM (2/2),,,,,,,,,,,,,,,A,XC41A-7160-002,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0021,TPC-TC(C0)-CD-22-0021,IFA,2022/02/07,2022/01/07,XC41A-7160-002,PFD - RECOVERY WATER TREATMENT SYSTEM (2/2),A,A,PFD for Recovery Water Treatment System_RA,TC0-1-UWM02-D7602,蕭舜予  Ext.:22121 ,PS-0163
