,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-CSC02-D3281,,,,,,B,PIPE RACK PR-3205 PILING PLAN,,,,,,,,,,,,,,,A,XF38A-320R-081,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0064,TPC-TC(C0)-CD-22-0064,IFA,2022/02/24,2022/01/24,XF38A-320R-081,PIPE RACK PR-3205 PILING PLAN,B,A,Pipe Rack PR-3205 Piling Plan_RB,TC0-1-CSC02-D3281,陳博仁  Ext.:23341,CB-0129
1,TC0-1-CSC02-C3281,,,,,,B,CALCULATION SHEET FOR PIPE RACK PR-3205 PILING,,,,,,,,,,,,,,,A,XF38A-320R-081C,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0064,TPC-TC(C0)-CD-22-0064,IFA,2022/02/24,2022/01/24,XF38A-320R-081C,CALCULATION SHEET FOR PIPE RACK PR-3205 PILING,B,A,Pipe Rack PR-3205 Piling Plan_RB,TC0-1-CSC02-C3281,陳博仁  Ext.:23341,CB-0129
