,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1367,IFA,2022/11/13,2022/10/14,XG31-3110-012,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (11/14),B,A,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (11/14~14/14),TC0-1-UPD02-D5014,施韋考  Ext.:26356,PP-0174,A
1,TPC-TC(C0)-CD-22-1367,IFA,2022/11/13,2022/10/14,XG31-3110-013,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (12/14),B,A,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (11/14~14/14),TC0-1-UPD02-D5015,施韋考  Ext.:26356,PP-0174,A
2,TPC-TC(C0)-CD-22-1367,IFA,2022/11/13,2022/10/14,XG31-3110-014,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (13/14),B,A,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (11/14~14/14),TC0-1-UPD02-D5016,施韋考  Ext.:26356,PP-0174,A
3,TPC-TC(C0)-CD-22-1367,IFA,2022/11/13,2022/10/14,XG31-3110-015,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (14/14),B,A,A/G PIPING ARRANGEMENT DRAWING FOR COMMON AREA 3110 (11/14~14/14),TC0-1-UPD02-D5017,施韋考  Ext.:26356,PP-0174,A
