,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-CIC02-D5001,,,,,,0,電纜涵洞(CBT-5001)控制點平面配置圖 CABLE TUNNEL (CBT-5001) LOCATION PLAN(1),,,,,,,,,,,,,,,A,XF34-5000-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0092,TPC-TC(C0)-CD-22-0092,IFC,2022/03/09,2022/02/09,XF34-5000-001,電纜涵洞(CBT-5001)控制點平面配置圖 CABLE TUNNEL (CBT-5001) LOCATION PLAN(1),0,A,電纜涵洞(CBT-5001)控制點平面配置圖_R0 (IFC),TC0-1-CIC02-D5001,陳博仁  Ext.:23341,CB-0145
1,TC0-1-CIC02-D5002,,,,,,0,電纜涵洞(CBT-5001)控制點平面配置圖 CABLE TUNNEL (CBT-5001) LOCATION PLAN(2),,,,,,,,,,,,,,,A,XF34-5000-002,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0092,TPC-TC(C0)-CD-22-0092,IFC,2022/03/09,2022/02/09,XF34-5000-002,電纜涵洞(CBT-5001)控制點平面配置圖 CABLE TUNNEL (CBT-5001) LOCATION PLAN(2),0,A,電纜涵洞(CBT-5001)控制點平面配置圖_R0 (IFC),TC0-1-CIC02-D5002,陳博仁  Ext.:23341,CB-0145
