,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TPC-TC(C0)-CD-22-1305,IFA,2022/11/10,2022/10/11,M0043-FP-9603,Recommended Spare Parts List for Three Years of Operation for Vertical Centrifugal Pump (Wastewater Treatment System),B,A,"Recommended Spare Parts List for Three Years of Operation, Installation, Operation and Maintenance Manual, Equipment GA Drawings including Nozzle Load, Termination List, Foundation Loads for Vertical Centrifugal Pump (Wastewater Treatment System)",TC0-1-UWM02-A9603,張銘洋  Ext.:24270,I,VDR-M0043-Fuildpow-0017
1,TPC-TC(C0)-CD-22-1305,IFA,2022/11/10,2022/10/11,M0043-FP-9607,"Installation, Operation and Maintenance Manual for Vertical Centrifugal Pump (Wastewater Treatment System)",B,A,"Recommended Spare Parts List for Three Years of Operation, Installation, Operation and Maintenance Manual, Equipment GA Drawings including Nozzle Load, Termination List, Foundation Loads for Vertical Centrifugal Pump (Wastewater Treatment System)",TC0-1-UWM02-M9607,張銘洋  Ext.:24270,R,VDR-M0043-Fuildpow-0017
2,TPC-TC(C0)-CD-22-1305,IFA,2022/11/10,2022/10/11,M0043-FP-9611,"Equipment GA Drawings including Nozzle Load, Termination List, Foundation Loads for Vertical Centrifugal Pump (Wastewater Treatment System)",A,A,"Recommended Spare Parts List for Three Years of Operation, Installation, Operation and Maintenance Manual, Equipment GA Drawings including Nozzle Load, Termination List, Foundation Loads for Vertical Centrifugal Pump (Wastewater Treatment System)",TC0-1-UWM02-D9611,張銘洋  Ext.:24270,R,VDR-M0043-Fuildpow-0017
