,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0672,IFC,2022/08/24,2022/07/24,XK12A-0NET0-001,NETWORK SYSTEM INSTALLATION DETAIL (1/3),0,C,INSTALLATION DETAIL FOR NETWORK SYSTEM,TC0-1-INE02-D5021,程正維  Ext.:28057,EE-0218,A
1,TPC-TC(C0)-CD-22-0672,IFC,2022/08/24,2022/07/24,XK12A-0NET0-002,NETWORK SYSTEM INSTALLATION DETAIL (2/3),0,C,INSTALLATION DETAIL FOR NETWORK SYSTEM,TC0-1-INE02-D5022,程正維  Ext.:28057,EE-0218,A
2,TPC-TC(C0)-CD-22-0672,IFC,2022/08/24,2022/07/24,XK12A-0NET0-003,NETWORK SYSTEM INSTALLATION DETAIL (3/3),0,C,INSTALLATION DETAIL FOR NETWORK SYSTEM,TC0-1-INE02-D5023,程正維  Ext.:28057,EE-0218,A
