,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0614,IFA,2022/08/07,2022/07/07,XK62A-0EDG0-001,LIGHTING LOAD SCHEDULE FOR EDG BUILDING (1/2),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR EDG,TC0-1-ELE02-C5401,程正維  Ext.:28057,EE-0193,A
1,TPC-TC(C0)-CD-22-0614,IFA,2022/08/07,2022/07/07,XK62A-0EDG0-002,LIGHTING LOAD SCHEDULE FOR EDG BUILDING (2/2),B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR EDG,TC0-1-ELE02-C5402,程正維  Ext.:28057,EE-0193,A
2,TPC-TC(C0)-CD-22-0614,IFA,2022/08/07,2022/07/07,XK62A-0EDG0-101,RECEPTACLE LOAD SCHEDULE FOR EDG BUILDING,B,A,LIGHTING AND RECEPTACLE LOAD SCHEDULE FOR EDG,TC0-1-ELE02-C5411,程正維  Ext.:28057,EE-0193,A
