,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-018,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5538,程正維  Ext.:28057,EE-0374,A
1,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-019,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (19/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5539,程正維  Ext.:28057,EE-0374,A
2,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-020,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (20/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5540,程正維  Ext.:28057,EE-0374,A
3,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-021,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (21/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5541,程正維  Ext.:28057,EE-0374,A
4,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-022,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (22/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5542,程正維  Ext.:28057,EE-0374,A
5,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-023,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (23/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5543,程正維  Ext.:28057,EE-0374,A
6,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-024,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (24/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5544,程正維  Ext.:28057,EE-0374,A
7,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-025,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (25/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5545,程正維  Ext.:28057,EE-0374,A
8,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-026,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (26/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5546,程正維  Ext.:28057,EE-0374,A
9,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-027,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (27/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5547,程正維  Ext.:28057,EE-0374,A
10,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-028,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (28/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5548,程正維  Ext.:28057,EE-0374,A
11,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-029,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (29/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5549,程正維  Ext.:28057,EE-0374,A
12,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-030,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (30/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5550,程正維  Ext.:28057,EE-0374,A
13,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-031,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (31/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5551,程正維  Ext.:28057,EE-0374,A
14,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-032,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (32/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5552,程正維  Ext.:28057,EE-0374,A
15,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-033,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (33/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5553,程正維  Ext.:28057,EE-0374,A
16,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-034,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (34/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5554,程正維  Ext.:28057,EE-0374,A
17,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-035,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (35/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5555,程正維  Ext.:28057,EE-0374,A
18,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-036,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (36/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5556,程正維  Ext.:28057,EE-0374,A
19,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-037,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (37/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5557,程正維  Ext.:28057,EE-0374,A
20,TPC-TC(C0)-CD-22-1392,IFA,2022/11/16,2022/10/17,XK41A-0PPR0-038,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (38/53),A,A,ELECTRICAL POWER LAYOUT FOR POWER BLOCK AREA (18~38)_RA,TC0-1-ERE02-D5558,程正維  Ext.:28057,EE-0374,A
