,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-032,UNIT CC#1 STG PEDESTAL FOUNDATION PLAN,A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1332,陳博仁  Ext.:23341,CB-0118
1,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-032C,CALCULATION SHEET FOR UNIT CC#1 STG PEDESTAL FOUNDATION,A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-C1332,陳博仁  Ext.:23341,CB-0118
2,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-033,UNIT CC#1 STG PEDESTAL TABLETOP PLAN,A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1333,陳博仁  Ext.:23341,CB-0118
3,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-034,UNIT CC#1 STG PEDESTAL FOUNDATION ELEVATION AND SECTION (1),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1334,陳博仁  Ext.:23341,CB-0118
4,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-035,UNIT CC#1 STG PEDESTAL FOUNDATION ELEVATION AND SECTION (2),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1335,陳博仁  Ext.:23341,CB-0118
5,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-036,UNIT CC#1 STG PEDESTAL FOUNDATION ELEVATION AND SECTION (3),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1336,陳博仁  Ext.:23341,CB-0118
6,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-037,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - COLUMN AND SUPPORT,A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1337,陳博仁  Ext.:23341,CB-0118
7,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-038,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (1),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1338,陳博仁  Ext.:23341,CB-0118
8,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-039,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (2),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1339,陳博仁  Ext.:23341,CB-0118
9,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-040,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (3),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1340,陳博仁  Ext.:23341,CB-0118
10,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-041,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (4),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1341,陳博仁  Ext.:23341,CB-0118
11,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-042,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (5),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1342,陳博仁  Ext.:23341,CB-0118
12,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-043,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (6),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1343,陳博仁  Ext.:23341,CB-0118
13,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-044,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (7),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1344,陳博仁  Ext.:23341,CB-0118
14,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-045,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (8),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1345,陳博仁  Ext.:23341,CB-0118
15,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-046,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SECTION AND DETAIL (9),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1346,陳博仁  Ext.:23341,CB-0118
16,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-047,UNIT CC#1 STG PEDESTAL FOUNDATION SECTION & DETAIL,A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1347,陳博仁  Ext.:23341,CB-0118
17,TPC-TC(C0)-CD-22-0040,IFA,2022/02/12,2022/01/12,XF37B-1300-048,UNIT CC#1 STG PEDESTAL FOUNDATION REINFORCEMENT - SLAB (1),A,A,Unit CC#1 STG Pedestal - Foundation Plan_RA,TC1-1-CTC02-D1348,陳博仁  Ext.:23341,CB-0118
