,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-001,Field Instrument Location Plan of Warehouse Area (1/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1147,王鵬豪  Ext.:25199,IN-0077
1,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-002,Field Instrument Location Plan of Warehouse Area (2/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1148,王鵬豪  Ext.:25199,IN-0077
2,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-003,Field Instrument Location Plan of Warehouse Area (3/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1149,王鵬豪  Ext.:25199,IN-0077
3,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-004,Field Instrument Location Plan of Warehouse Area (4/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1150,王鵬豪  Ext.:25199,IN-0077
4,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-005,Field Instrument Location Plan of Emergency Diesel Generator Area (1/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1151,王鵬豪  Ext.:25199,IN-0077
5,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-006,Field Instrument Location Plan of Emergency Diesel Generator Area (2/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1152,王鵬豪  Ext.:25199,IN-0077
6,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-007,Field Instrument Location Plan of Wastewater Treatment Area (1/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1153,王鵬豪  Ext.:25199,IN-0077
7,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3100-008,Field Instrument Location Plan of Wastewater Treatment Area (2/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1141,王鵬豪  Ext.:25199,IN-0077
8,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-001,Field Instrument Location Plan of Water Treatment Area (1/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1158,王鵬豪  Ext.:25199,IN-0077
9,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-002,Field Instrument Location Plan of Water Treatment Area (2/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1159,王鵬豪  Ext.:25199,IN-0077
10,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-003,Field Instrument Location Plan of Water Treatment Area (3/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1160,王鵬豪  Ext.:25199,IN-0077
11,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-004,Field Instrument Location Plan of Water Treatment Area (4/4),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1161,王鵬豪  Ext.:25199,IN-0077
12,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-005,Field Instrument Location Plan of Ammonia Storage Area,A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1162,王鵬豪  Ext.:25199,IN-0077
13,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-006,Field Instrument Location Plan of Lube Oil Storage Area,A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1163,王鵬豪  Ext.:25199,IN-0077
14,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-007,Field Instrument Location Plan of Recovery Water Treatment Area (1/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1164,王鵬豪  Ext.:25199,IN-0077
15,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3200-008,Field Instrument Location Plan of Recovery Water Treatment Area (2/2),A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1154,王鵬豪  Ext.:25199,IN-0077
16,TPC-TC(C0)-CD-22-0073,IFA,2022/02/26,2022/01/26,XH72-3300-001,Field Instrument Location Plan of Potable Water Tank,A,A,Field Instrument Location Plan of Warehouse Area (1of4)…etc,TC0-1-III02-D1139,王鵬豪  Ext.:25199,IN-0077
