,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-022,TYPICAL DETAILS FOR STRUCTURAL STEEL JOINT WELDING AND COPES,1,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5022,陳博仁  Ext.:23341,CB-0374,A
1,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-023,TYPICAL DETAILS FOR STRUCTURAL STEEL SINGLE SHEAR CONNECTIONS,0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5023,陳博仁  Ext.:23341,CB-0374,A
2,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-024,TYPICAL DETAILS FOR STRUCTURAL STEEL WUF MOMENT CONNECTION,0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5024,陳博仁  Ext.:23341,CB-0374,A
3,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-025,TYPICAL DETAILS FOR STRUCTURAL STEEL SMRF & IMRF (WCP & RBS) MOMENT CONNECTIONS,0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5025,陳博仁  Ext.:23341,CB-0374,A
4,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-026,TYPICAL DETAILS FOR STRUCTURAL STEEL SMRF & IMRF (BEP) MOMENT CONNECTIONS (1/2),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5026,陳博仁  Ext.:23341,CB-0374,A
5,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-027,TYPICAL DETAILS FOR STRUCTURAL STEEL SMRF & IMRF (BEP) MOMENT CONNECTIONS (2/2),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5027,陳博仁  Ext.:23341,CB-0374,A
6,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-029,TYPICAL DETAILS FOR STRUCTURAL STEEL MOMENT CONNECTIONS,0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5029,陳博仁  Ext.:23341,CB-0374,A
7,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-030,TYPICAL DETAILS FOR STRUCTURAL STEEL HORIZONTAL BRACING CONNECTIONS (1/2),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5030,陳博仁  Ext.:23341,CB-0374,A
8,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-031,TYPICAL DETAILS FOR STRUCTURAL STEEL HORIZONTAL BRACING CONNECTIONS (2/2),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5031,陳博仁  Ext.:23341,CB-0374,A
9,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-033,"TYPICAL DETAILS FOR STRUCTURAL STEEL ""L"" & ""T"" SHAPE VERTICAL BRACING",0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5033,陳博仁  Ext.:23341,CB-0374,A
10,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-034,"TYPICAL DETAILS FOR STRUCTURAL STEEL SCBF ""H"" SHAPE VERTICAL BRACING CONNECTIONS (1/2)",0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5034,陳博仁  Ext.:23341,CB-0374,A
11,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-035,"TYPICAL DETAILS FOR STRUCTURAL STEEL SCBF ""H"" SHAPE VERTICAL BRACING CONNECTIONS (2/2)",0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5035,陳博仁  Ext.:23341,CB-0374,A
12,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-039,TYPICAL DETAILS FOR STRUCTURAL STEEL COLUMN BASE PLATES (HINGED TYPE),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5039,陳博仁  Ext.:23341,CB-0374,A
13,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-040,TYPICAL DETAILS FOR STRUCTURAL STEEL COLUMN BASE PLATES (FIXED TYPE),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5040,陳博仁  Ext.:23341,CB-0374,A
14,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-041,TYPICAL DETAILS FOR STRUCTURAL STEEL COLUMN SPLICES (1/2),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5041,陳博仁  Ext.:23341,CB-0374,A
15,TPC-TC(C0)-CD-22-1005,IFC,2022/10/04,2022/09/05,XF11B-0000-042,TYPICAL DETAILS FOR STRUCTURAL STEEL COLUMN SPLICES (2/2),0,C,"Steel Standard Drawing_R0,R1 (IFC)",TC0-1-CYC02-D5042,陳博仁  Ext.:23341,CB-0374,A
