,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-MCB1 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5251,程正維  Ext.:28057,EE-0022
1,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-MCB2 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5252,程正維  Ext.:28057,EE-0022
2,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCCW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-CWPH1 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5205,程正維  Ext.:28057,EE-0022
3,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCCW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-CWPH2 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5206,程正維  Ext.:28057,EE-0022
4,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCDG-101,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-EDG1 (1/2),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5241,程正維  Ext.:28057,EE-0022
5,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCDG-102,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-EDG1 (2/2),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5242,程正維  Ext.:28057,EE-0022
6,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCDG-201,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-EDG2 (1/2),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-2-EOE02-D5241,程正維  Ext.:28057,EE-0022
7,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCDG-202,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-EDG2 (2/2),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-2-EOE02-D5242,程正維  Ext.:28057,EE-0022
8,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-DWTP1 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5271,程正維  Ext.:28057,EE-0022
9,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCDW-201,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-DWTP2 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5277,程正維  Ext.:28057,EE-0022
10,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCEH-101,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-SEH1 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5201,程正維  Ext.:28057,EE-0022
11,TPC-TC(C0)-CD-22-0075,IFA,2022/02/26,2022/01/26,XK21A-0PCEH-201,ELECTRICAL SINGLE LINE DIAGRAM FOR PC-SEH2 (1/1),A,A,POWER CENTER SINGLE LINE DIAGRAM,TC0-1-EOE02-D5202,程正維  Ext.:28057,EE-0022
