,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCNATURE,DOCCLASS,TAGNO,CLIENTDOCNO,DESCRIPTION
0,HT-D1-CTC-GEL-22-0031,IFA,2022/02/11,,XF31M-0000-051,ELECTRICAL MANHOLE DETAILS (1),C,,A,,HT0-1-CAC01-D7151,Electrical Manhole Plan (IFA) 電機人孔圖 (IFA)
1,HT-D1-CTC-GEL-22-0031,IFA,2022/02/11,,XF31M-0000-052,ELECTRICAL MANHOLE DETAILS (2),C,,A,,HT0-1-CAC01-D7152,Electrical Manhole Plan (IFA) 電機人孔圖 (IFA)
