,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ERE02-D5111,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (1/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-001,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (1/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5111,程正維  Ext.:28057,EE-0310,A
1,TC0-1-ERE02-D5112,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (2/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-002,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (2/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5112,程正維  Ext.:28057,EE-0310,A
2,TC0-1-ERE02-D5113,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (3/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-003,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (3/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5113,程正維  Ext.:28057,EE-0310,A
3,TC0-1-ERE02-D5114,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (4/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-004,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (4/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5114,程正維  Ext.:28057,EE-0310,A
4,TC0-1-ERE02-D5115,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (5/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-005,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (5/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5115,程正維  Ext.:28057,EE-0310,A
5,TC0-1-ERE02-D5116,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (6/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-006,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (6/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5116,程正維  Ext.:28057,EE-0310,A
6,TC0-1-ERE02-D5117,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (7/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-007,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (7/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5117,程正維  Ext.:28057,EE-0310,A
7,TC0-1-ERE02-D5118,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (8/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-008,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (8/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5118,程正維  Ext.:28057,EE-0310,A
8,TC0-1-ERE02-D5119,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (9/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-009,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-009,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (9/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5119,程正維  Ext.:28057,EE-0310,A
9,TC0-1-ERE02-D5120,,,,,,A,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (10/12),,,,,,,,,,,,,,,A,XK31B-0CCB0-010,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1077,TPC-TC(C0)-CD-22-1077,IFA,2022/10/14,2022/09/14,XK31B-0CCB0-010,ELECTRICAL POWER LAYOUT FOR MAIN CONTROL BLDG. (10/12),A,A,Electrical power layout for MCB_RA,TC0-1-ERE02-D5120,程正維  Ext.:28057,EE-0310,A
