,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
0,TC0-1-FCM02-D6619,,,,,,A,氨氣儲槽區廣播系統昇位圖,,,,,,,,,,,,,,,A,M0001-6343,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0984,TPC-TC(C0)-CD-22-0984,IFA,2022/10/01,2022/09/01,M0001-6343,氨氣儲槽區廣播系統昇位圖,A,A,氨氣儲槽區廣播系統昇位圖/平面圖,TC0-1-FCM02-D6619,施韋考  Ext.:26356,R,VDR-M0001-GWOJ-0076
1,TC0-1-FCM02-D6620,,,,,,A,氨氣儲槽區廣播系統平面圖,,,,,,,,,,,,,,,A,M0001-6344,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0984,TPC-TC(C0)-CD-22-0984,IFA,2022/10/01,2022/09/01,M0001-6344,氨氣儲槽區廣播系統平面圖,A,A,氨氣儲槽區廣播系統昇位圖/平面圖,TC0-1-FCM02-D6620,施韋考  Ext.:26356,R,VDR-M0001-GWOJ-0076
