,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-UZC02-D6801,,,,,,A,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT SCHEDULE & AIR FLOW DIAGRAM,,,,,,,,,,,,,,,A,XF71C-3100-501,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0521,TPC-TC(C0)-CD-22-0521,IFA,2022/07/16,2022/06/16,XF71C-3100-501,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT SCHEDULE & AIR FLOW DIAGRAM,A,A,Lube Oil Storage Warehouse (BLD-3105) - HVAC System_RA,TC0-1-UZC02-D6801,陳博仁  Ext.:23341,CB-0281,A
1,TC0-1-UZC02-D6821,,,,,,A,"LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT, AIR DUCT, CONTROL CABLE LAYOUT-1",,,,,,,,,,,,,,,A,XF71C-3100-521,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0521,TPC-TC(C0)-CD-22-0521,IFA,2022/07/16,2022/06/16,XF71C-3100-521,"LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT, AIR DUCT, CONTROL CABLE LAYOUT-1",A,A,Lube Oil Storage Warehouse (BLD-3105) - HVAC System_RA,TC0-1-UZC02-D6821,陳博仁  Ext.:23341,CB-0281,A
2,TC0-1-UZC02-D6822,,,,,,A,"LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT, AIR DUCT, CONTROL CABLE LAYOUT-2",,,,,,,,,,,,,,,A,XF71C-3100-522,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0521,TPC-TC(C0)-CD-22-0521,IFA,2022/07/16,2022/06/16,XF71C-3100-522,"LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT, AIR DUCT, CONTROL CABLE LAYOUT-2",A,A,Lube Oil Storage Warehouse (BLD-3105) - HVAC System_RA,TC0-1-UZC02-D6822,陳博仁  Ext.:23341,CB-0281,A
3,TC0-1-UZC02-D6881,,,,,,A,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,,,,,,,,,,,,,,,A,XF71C-3100-581,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0521,TPC-TC(C0)-CD-22-0521,IFA,2022/07/16,2022/06/16,XF71C-3100-581,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,A,A,Lube Oil Storage Warehouse (BLD-3105) - HVAC System_RA,TC0-1-UZC02-D6881,陳博仁  Ext.:23341,CB-0281,A
4,TC0-1-UZC02-D6882,,,,,,A,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC CONTROL SYSTEM I/O LIST,,,,,,,,,,,,,,,A,XF71C-3100-582,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0521,TPC-TC(C0)-CD-22-0521,IFA,2022/07/16,2022/06/16,XF71C-3100-582,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC CONTROL SYSTEM I/O LIST,A,A,Lube Oil Storage Warehouse (BLD-3105) - HVAC System_RA,TC0-1-UZC02-D6882,陳博仁  Ext.:23341,CB-0281,A
5,TC0-1-UZC02-C6801,,,,,,A,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC SYSTEM CALCULATION SHEET,,,,,,,,,,,,,,,A,XF72-3100-501C,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0521,TPC-TC(C0)-CD-22-0521,IFA,2022/07/16,2022/06/16,XF72-3100-501C,LUBE OIL STORAGE WAREHOUSE (BLD-3105) HVAC SYSTEM CALCULATION SHEET,A,A,Lube Oil Storage Warehouse (BLD-3105) - HVAC System_RA,TC0-1-UZC02-C6801,陳博仁  Ext.:23341,CB-0281,A
