,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-CSC02-D3261,,,,,,A,PIPE RACK PR-3204 PILING PLAN,,,,,,,,,,,,,,,A,XF38A-320R-061,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0036,TPC-TC(C0)-CD-22-0036,IFA,2022/02/11,2022/01/11,XF38A-320R-061,PIPE RACK PR-3204 PILING PLAN,A,A,Pipe Rack PR-3204 Piling Plan_RA,TC0-1-CSC02-D3261,陳博仁  Ext.:23341,CB-0116
1,TC0-1-CSC02-C3261,,,,,,A,CALCULATION SHEET FOR PIPE RACK PR-3204 PILING,,,,,,,,,,,,,,,A,XF38A-320R-061C,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0036,TPC-TC(C0)-CD-22-0036,IFA,2022/02/11,2022/01/11,XF38A-320R-061C,CALCULATION SHEET FOR PIPE RACK PR-3204 PILING,A,A,Pipe Rack PR-3204 Piling Plan_RA,TC0-1-CSC02-C3261,陳博仁  Ext.:23341,CB-0116
