,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-ENE02-D5141,,,,,,A,GROUNDING LAYOUT FOR 345KV CABLE TUNNEL ELECTRICAL EQUIPMENT ROOM 1,,,,,,,,,,,,,,,A,XK51A-0CTEG-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1601,TPC-TC(C0)-CD-22-1601,IFA,2022/12/02,2022/11/02,XK51A-0CTEG-001,GROUNDING LAYOUT FOR 345KV CABLE TUNNEL ELECTRICAL EQUIPMENT ROOM EER#1,A,A,GROUNDING LAYOUT FOR  345KV CABLE TUNNEL ELECTRICAL EQUIPMENT ROOM,TC0-1-ENE02-D5141,程正維  Ext.:28057,EE-0423,A
1,TC0-1-ENE02-D5142,,,,,,A,GROUNDING LAYOUT FOR 345KV CABLE TUNNEL ELECTRICAL EQUIPMENT ROOM 2,,,,,,,,,,,,,,,A,XK51A-0CTEG-002,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-1601,TPC-TC(C0)-CD-22-1601,IFA,2022/12/02,2022/11/02,XK51A-0CTEG-002,GROUNDING LAYOUT FOR 345KV CABLE TUNNEL ELECTRICAL EQUIPMENT ROOM EER#2,A,A,GROUNDING LAYOUT FOR  345KV CABLE TUNNEL ELECTRICAL EQUIPMENT ROOM,TC0-1-ENE02-D5142,程正維  Ext.:28057,EE-0423,A
