,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APCW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CWPH (1/2),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5732,程正維  Ext.:28057,EE-0045
1,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APDW-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-DWTP (1/2),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5735,程正維  Ext.:28057,EE-0045
2,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APDW-102,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-DWTP (2/2),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5736,程正維  Ext.:28057,EE-0045
3,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APGM-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-GTMS(1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5734,程正維  Ext.:28057,EE-0045
4,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APHP-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-HPW (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5785,程正維  Ext.:28057,EE-0045
5,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APRT-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-RWT (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5731,程正維  Ext.:28057,EE-0045
6,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APSP-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-SPW (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5741,程正維  Ext.:28057,EE-0045
7,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APTN-101,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CT1 (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5791,程正維  Ext.:28057,EE-0045
8,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0APTN-201,ELECTRICAL SINGLE LINE DIAGRAM FOR ADP-CT2 (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5793,程正維  Ext.:28057,EE-0045
9,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0EPCB-101,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP1-MCB (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5651,程正維  Ext.:28057,EE-0045
10,TPC-TC(C0)-CD-22-0108,IFA,2022/03/14,2022/02/14,XK21A-0EPCB-201,ELECTRICAL SINGLE LINE DIAGRAM FOR EDP2-MCB (1/1),A,A,XK21A  BOP POWER DESTRUCTION PANEL,TC0-1-EOE02-D5111,程正維  Ext.:28057,EE-0045
