,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0358,IFA,2022/06/05,2022/05/05,XF51C-3100-201,備用品倉庫(BLD-3104)地面層平面圖 SPARES WAREHOUSE (BLD-3104) GENERAL ARRANGEMENT GROUND FLOOR PLAN,A,A,備用品倉庫 Spares Warehouse (BLD-3104) - General Arrangement_RA,TC0-1-AOC02-D7751,陳博仁  Ext.:23341,CB-0236,A
1,TPC-TC(C0)-CD-22-0358,IFA,2022/06/05,2022/05/05,XF51C-3100-202,備用品倉庫(BLD-3104)二層平面圖SPARES WAREHOUSE (BLD-3104) GENERAL ARRANGEMENT SECOND FLOOR PLAN,A,A,備用品倉庫 Spares Warehouse (BLD-3104) - General Arrangement_RA,TC0-1-AOC02-D7752,陳博仁  Ext.:23341,CB-0236,A
2,TPC-TC(C0)-CD-22-0358,IFA,2022/06/05,2022/05/05,XF51C-3100-203,備用品倉庫(BLD-3104)屋頂層平面圖SPARES WAREHOUSE (BLD-3104) GENERAL ARRANGEMENT ROOF FLOOR PLAN,A,A,備用品倉庫 Spares Warehouse (BLD-3104) - General Arrangement_RA,TC0-1-AOC02-D7753,陳博仁  Ext.:23341,CB-0236,A
3,TPC-TC(C0)-CD-22-0358,IFA,2022/06/05,2022/05/05,XF51C-3100-204,備用品倉庫(BLD-3104)立面圖(1/2)SPARES WAREHOUSE (BLD-3104) GENERAL ARRANGEMENT ELEVATIONS (1/2),A,A,備用品倉庫 Spares Warehouse (BLD-3104) - General Arrangement_RA,TC0-1-AOC02-D7754,陳博仁  Ext.:23341,CB-0236,A
4,TPC-TC(C0)-CD-22-0358,IFA,2022/06/05,2022/05/05,XF51C-3100-205,備用品倉庫(BLD-3104)立面圖(2/2)SPARES WAREHOUSE (BLD-3104) GENERAL ARRANGEMENT ELEVATIONS (2/2),A,A,備用品倉庫 Spares Warehouse (BLD-3104) - General Arrangement_RA,TC0-1-AOC02-D7755,陳博仁  Ext.:23341,CB-0236,A
5,TPC-TC(C0)-CD-22-0358,IFA,2022/06/05,2022/05/05,XF51C-3100-206,備用品倉庫(BLD-3104)剖面圖SPARES WAREHOUSE (BLD-3104) GENERAL ARRANGEMENT SECTIONS,A,A,備用品倉庫 Spares Warehouse (BLD-3104) - General Arrangement_RA,TC0-1-AOC02-D7756,陳博仁  Ext.:23341,CB-0236,A
