,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TCO-1-EBF02-D5002,,,,,,A,Local Control Panel Drawing and Accessories for 345kV IMB,,,,,,,,,,,,,,,A,TCO-1-EBF02-D5002,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0421,TPC-TC(C0)-CD-22-0421,IFA,2022/06/23,2022/05/23,TCO-1-EBF02-D5002,Local Control Panel Drawing and Accessories for 345kV IMB,,A,Local Control Panel Drawing and Accessories for 345kV IMB/Catalogs of LCC for 345kV IMB,TCO-1-EBF02-D5002,程正維  Ext.:28057,R
1,TCO-1-EBF02-S5006,,,,,,A,Catalogs of LCC for 345kV IMB,,,,,,,,,,,,,,,A,TCO-1-EBF02-S5006,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0421,TPC-TC(C0)-CD-22-0421,IFA,2022/06/23,2022/05/23,TCO-1-EBF02-S5006,Catalogs of LCC for 345kV IMB,,A,Local Control Panel Drawing and Accessories for 345kV IMB/Catalogs of LCC for 345kV IMB,TCO-1-EBF02-S5006,程正維  Ext.:28057,R
