,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-INE02-D5021,,,,,,A,NETWORK SYSTEM INSTALLATION DETAIL (1/3),,,,,,,,,,,,,,,A,XK12A-0NET0-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0011,TPC-TC(C0)-CD-22-0011,IFA,2022/02/06,2022/01/06,XK12A-0NET0-001,NETWORK SYSTEM INSTALLATION DETAIL (1/3),A,A,Network system installation detail,TC0-1-INE02-D5021,程正維  Ext.:28057,EE-0031
1,TC0-1-INE02-D5022,,,,,,A,NETWORK SYSTEM INSTALLATION DETAIL (2/3),,,,,,,,,,,,,,,A,XK12A-0NET0-002,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0011,TPC-TC(C0)-CD-22-0011,IFA,2022/02/06,2022/01/06,XK12A-0NET0-002,NETWORK SYSTEM INSTALLATION DETAIL (2/3),A,A,Network system installation detail,TC0-1-INE02-D5022,程正維  Ext.:28057,EE-0031
2,TC0-1-INE02-D5023,,,,,,A,NETWORK SYSTEM INSTALLATION DETAIL (3/3),,,,,,,,,,,,,,,A,XK12A-0NET0-003,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0011,TPC-TC(C0)-CD-22-0011,IFA,2022/02/06,2022/01/06,XK12A-0NET0-003,NETWORK SYSTEM INSTALLATION DETAIL (3/3),A,A,Network system installation detail,TC0-1-INE02-D5023,程正維  Ext.:28057,EE-0031
