,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-EOE02-D5001,,,,,,A,SINGLE LINE DIAGRAM-LEGEND AND NOTE(1/2),,,,,,,,,,,,,,,A,XK21A-00000-001,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0076,TPC-TC(C0)-CD-22-0076,IFA,2022/02/26,2022/01/26,XK21A-00000-001,SINGLE LINE DIAGRAM-LEGEND AND NOTE(1/2),A,A,SINGLE LINE DIAGRAM-LEGEND AND NOTE,TC0-1-EOE02-D5001,程正維  Ext.:28057,EE-0020
1,TC0-1-EOE02-D5002,,,,,,A,SINGLE LINE DIAGRAM-LEGEND AND NOTE(2/2),,,,,,,,,,,,,,,A,XK21A-00000-002,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0076,TPC-TC(C0)-CD-22-0076,IFA,2022/02/26,2022/01/26,XK21A-00000-002,SINGLE LINE DIAGRAM-LEGEND AND NOTE(2/2),A,A,SINGLE LINE DIAGRAM-LEGEND AND NOTE,TC0-1-EOE02-D5002,程正維  Ext.:28057,EE-0020
