,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,path,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS
0,TC0-1-KDE02-S0056,,,,,,1,Electric Heater Data Sheet for DWTS,,,,,,,,,,,,,,,A,F0002-TSK-9056,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0648,TPC-TC(C0)-CD-22-0648,IFRA,2022/08/15,2022/07/15,F0002-TSK-9056,Electric Heater Data Sheet for DWTS,1,,"Electric Heater Data Sheet, Piping Material Specification for DWTS",TC0-1-KDE02-S0056,蕭舜予  Ext.:22121 ,R
1,TC0-1-KDM02-S0068,,,,,,2,Piping Material Specification for DWTS,,,,,,,,,,,,,,,A,F0002-TSK-9068,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0648,TPC-TC(C0)-CD-22-0648,IFRA,2022/08/15,2022/07/15,F0002-TSK-9068,Piping Material Specification for DWTS,2,,"Electric Heater Data Sheet, Piping Material Specification for DWTS",TC0-1-KDM02-S0068,蕭舜予  Ext.:22121 ,R
