,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-1038,IFC,2022/10/08,2022/09/08,XB41A-00000-001,HAZARDOUS AREA SOURCE RELEASE,0,C,Hazardous Area Classification,TC0-0-AZE02-D5015,程正維  Ext.:28057,EE-0291,A
1,TPC-TC(C0)-CD-22-1038,IFC,2022/10/08,2022/09/08,XB41A-0BOP0-001,HAZARDOUS AREA CLASSIFICATION FOR OTHERS,0,C,Hazardous Area Classification,TC0-0-AZE02-D5014,程正維  Ext.:28057,EE-0291,A
2,TPC-TC(C0)-CD-22-1038,IFC,2022/10/08,2022/09/08,XB41A-0DWT0-001,"HAZARDOUS AREA CLASSIFICATION FOR DEMINERALIZED & RECOVERY WATER SYSTEM, AMMONIA STORAGE WAREHOUSE, LUBE OIL STORAGE AREA, AND GT SPRAY WATER SYSTEM",0,C,Hazardous Area Classification,TC0-0-AZE02-D5012,程正維  Ext.:28057,EE-0291,A
3,TPC-TC(C0)-CD-22-1038,IFC,2022/10/08,2022/09/08,XB41A-0EDG0-001,"HAZARDOUS AREA CLASSIFICATION FOR EDG, GAS TURBINE MAINT. SHOP, WASTEWATER TREATMENT PLANT, AND SPARE/ HEAVEY PARTS/ LUBE OIL STORAGE WAREHOUSE",0,C,Hazardous Area Classification,TC0-0-AZE02-D5011,程正維  Ext.:28057,EE-0291,A
4,TPC-TC(C0)-CD-22-1038,IFC,2022/10/08,2022/09/08,XB41A-0SEH0-001,HAZARDOUS AREA CLASSIFICATION FOR SEAWATER ELECTROLYSIS HOUSE AND CIRCULATING WATER PUMPS,0,C,Hazardous Area Classification,TC0-0-AZE02-D5013,程正維  Ext.:28057,EE-0291,A
